-0.989561-0.0153521j -0.216622+0.0611365j -0.00714122-0.142127j -0.0314359-0.0267282j 0.0592964+0.00909708j 0.0824177-0.0664802j 0.0155423+0.054227j 0.00531801+0.0328052j 0.0132238-0.000446003j 
-0.063018+0.0632225j -0.432732-0.278686j -0.293908+0.510655j 0.277463+0.0610115j 0.0311014-0.0154708j 0.00488872+0.0330962j 0.0839167+0.0478622j -0.146512-0.0602303j -0.0845615-0.096316j 
-0.0735421-0.012659j 0.239505+0.163447j 0.188175-0.323333j -0.28245-0.184879j 0.138645-0.140264j -0.190305+0.181382j -0.00823281+0.139641j -0.150953-0.0468151j -0.0703464-0.124923j 
0.0570887-0.07588j -0.106669+0.0875793j 0.0347226+0.0711203j -0.188619+0.096267j -0.152358-0.277587j 0.210767+0.0176312j -0.158237-0.0430258j -0.148884+0.291119j -0.144462-0.107438j 
0.0765154-0.0163587j 0.136709-0.0803152j -0.0451529-0.102375j 0.209608-0.00904301j -0.0981685+0.0361967j -0.119701-0.405599j -0.360872+0.12576j 0.0118305+0.0393258j -0.0378443-0.1823j 
0.0446628+0.0312451j -0.0784913+0.0357279j 0.0320013+0.0640894j -0.0767575-0.0323059j -0.232702+0.100778j -0.278806+0.0302984j 0.0887008+0.404813j 0.163338+0.194445j -0.208373+0.142946j 
0.0142714+0.0445121j -0.0168962-0.0975063j -0.0558934-0.0520114j -0.0409149-0.292054j 0.202331-0.0995637j -0.230159+0.0834616j -0.0636211+0.0863027j -0.216968-0.0872071j -0.0387515-0.171341j 
0.0398986+0.00494177j 0.0422335-0.000570244j -0.0495688+0.0198521j 0.0390594+0.0163193j 0.170928+0.0928747j -0.0488667+0.0888975j 0.0955634-0.0143916j 0.0237031-0.21556j 0.0954375-0.0525657j 
0.0438469+0.0137706j -0.0688674-0.00894285j 0.0121632+0.035473j 0.0487632+0.0639997j -0.0393377+0.0653134j 0.0389611+0.120028j 0.146643-0.0333652j -0.0130189+0.0224613j 0.00136112+0.0408619j 
0.0342688-0.00489544j 0.0361481-0.0204775j 0.020106+0.0298889j -0.00427228+0.0164664j -0.0243094-0.0275981j -0.0625333-0.0430827j -0.0242844+0.0730444j 0.0053356-0.0471146j -0.00543936+0.00647456j 
0.0578097+0.00422423j 0.0344498-0.0122821j -0.00363579+0.0196757j 0.022949-0.0206818j 0.0565078-0.0438065j 0.0207+0.0138271j 0.0152042-0.0202976j -0.052032-0.0385344j -0.0294211-0.0183216j 
0.0199873+0.0137334j 0.00555412-0.00255578j 0.00249718+0.024669j 0.068974-0.0251801j 0.00819502+0.011412j -0.020921+0.0634396j 0.0973168+0.0628718j -0.029066+0.0223636j -0.129472+0.0215244j 
0.00338079-0.00370851j 0.0170613+0.0479417j -0.0224409-0.0314624j 0.00600778-0.049013j -0.00858909+0.0387862j 0.0132377-0.0126148j 0.00287997+0.0256512j 0.0652876+0.0945584j -0.0893489+0.0377828j 
0.0385837+0.0155563j -0.00470602-0.0295516j 0.0374654-0.0173954j -0.00362674-0.0195605j -0.0651093+0.030673j -0.014964-0.035223j 0.0313676-0.0300448j 0.0472425+0.0121293j 0.0738767+0.130415j 
-0.0136177+0.0100431j 0.0181352-0.0572508j -0.0132918+0.0455383j 0.0497077-0.0546772j 0.0573504-0.0177314j 0.0129647-0.0466912j 0.00702489-0.0520031j 0.00704942-0.0634238j 0.0123006+0.0763102j 
