-0.00350823-0j -0.000566137-0j -0.000462249-0j -6.67199e-05-0j -5.77812e-05-0j -6.80958e-06-0j -3.10813e-07-0j -0.00323371-0j -0.000511295-0j -0.000404214-0j -0.000269476-0j -5.83433e-05-0j -6.7369e-05-0j -2.38185e-05-0j -5.61408e-06-0j -5.95464e-06-0j -4.9622e-07-0j -1.8493e-08-0j 
0.000546941-0j -0.00415099-0j 7.20658e-05-0j -0.000988798-0j -0.000423658-0j -0.000151909-0j -1.15884e-05-0j -0.145238-0j -0.00374887-0j 6.30179e-05-0j 4.2012e-05-0j -0.000864655-0j -0.000493957-0j 3.71337e-06-0j -0.00012524-0j -8.82485e-05-0j -1.47854e-05-0j -8.27973e-07-0j 
-0.101574-0j 6.83676e-05-0j -0.00530982-0j 8.0572e-06-0j -0.00133443-0j -7.8221e-05-0j 3.75343e-08-0j 0.000390508-0j -0.0148036-0j -0.00464317-0j 3.25423e-05-0j 7.04562e-06-0j -0.000773862-0j -0.000826558-0j 6.77965e-07-0j -0.00013752-0j -5.70003e-06-0j 2.23324e-09-0j 
0.014661-0j 0.000938057-0j -8.0572e-06-0j -0.00514338-0j 9.574e-05-0j -0.0016088-0j -0.00024736-0j -5.6365e-05-0j -0.203117-0j -7.04562e-06-0j -4.69708e-06-0j -0.00449763-0j 0.000111627-0j -4.15167e-07-0j -0.00132636-0j -0.000459037-0j -0.000236122-0j -2.21228e-05-0j 
0.000386745-0j -0.0119506-0j -0.00730087-0j -0.00105379-0j 6.36977e-06-0j 7.50685e-07-0j 3.42639e-08-0j 0.000356483-0j 5.6365e-05-0j -0.00853257-0j -0.00854203-0j -0.00123157-0j -0.00106404-0j 2.62575e-06-0j -8.86701e-05-0j 6.56437e-07-0j 5.47031e-08-0j 2.03866e-09-0j 
-6.83676e-05-0j -0.0993555-0j 0.000856868-0j 0.0001236-0j -0.0101276-0j -0.00180621-0j 1.44855e-06-0j -6.30179e-05-0j 0.000468609-0j -0.143476-0j -5.25149e-06-0j -0.0206959-0j -0.0058732-0j 0.000133385-0j 1.5655e-05-0j -0.0021096-0j -0.0001758-0j 1.03497e-07-0j 
-4.55784e-05-0j 0.000345915-0j 0.00172684-0j -0.0236935-0j 3.53048e-05-0j 1.26591e-05-0j 9.65701e-07-0j -4.2012e-05-0j 0.000312406-0j -5.25149e-06-0j -0.143725-0j 7.20546e-05-0j -0.0118362-0j -3.09447e-07-0j -0.00300099-0j 7.35404e-06-0j 1.23212e-06-0j 6.89978e-08-0j 
5.6973e-06-0j 0.025191-0j 7.50685e-07-0j 0.00146863-0j -1.3427e-05-0j -0.00689739-0j -0.00328613-0j 5.25149e-06-0j -0.000118813-0j -0.000125697-0j 4.37625e-07-0j -0.24591-0j -1.5655e-05-0j 3.86809e-08-0j -0.00568649-0j 0.000131072-0j -0.00207647-0j -0.000393103-0j 
-3.9472e-05-0j -6.36977e-06-0j -0.142502-0j 0.000107552-0j -0.0117637-0j 1.46522e-05-0j -3.49705e-09-0j -3.63834e-05-0j -5.75272e-06-0j 0.000869752-0j 0.000871818-0j -6.56437e-07-0j -0.0207685-0j -0.0147017-0j 9.04985e-06-0j -0.00121231-0j 1.06772e-06-0j -2.0807e-10-0j 
8.0572e-06-0j -0.0001236-0j 0.014468-0j -0.0970951-0j 0.00241248-0j -0.0201635-0j 3.25926e-05-0j 7.42674e-06-0j -0.000111627-0j -8.83045e-05-0j -0.000177959-0j 0.000592614-0j -0.200443-0j -1.57196e-05-0j -0.0250386-0j -0.0115669-0j -0.00295938-0j 2.91493e-06-0j 
4.0286e-06-0j -3.05749e-05-0j -0.000152536-0j -7.28319e-06-0j -0.171191-0j 0.000321534-0j -8.53567e-08-0j 3.71337e-06-0j -2.76131e-05-0j -0.000133385-0j 3.09447e-07-0j -6.36879e-06-0j 0.00104552-0j -0.141217-0j -9.22479e-07-0j -0.0356593-0j 3.12952e-05-0j -6.0986e-09-0j 
-4.74775e-07-0j 1.4643e-05-0j 8.96266e-06-0j 0.035316-0j 1.49449e-06-0j 0.00237461-0j -0.025755-0j -4.37625e-07-0j 1.32245e-05-0j -5.47031e-08-0j 1.04863e-05-0j -0.000215549-0j -0.000249648-0j -3.22341e-09-0j -0.280486-0j -2.19994e-05-0j -0.00787392-0j -0.00466269-0j 
-5.81478e-07-0j 1.3427e-05-0j 1.46522e-05-0j -0.000149891-0j 0.024797-0j -0.134627-0j 0.000335389-0j -5.35978e-07-0j 1.21263e-05-0j 1.28127e-05-0j -4.46649e-08-0j -0.000131072-0j -0.000305562-0j -0.000216577-0j 0.000580374-0j -0.242065-0j -0.0405297-0j 4.01209e-05-0j 
3.75343e-08-0j -1.44855e-06-0j -4.70426e-07-0j 3.25926e-05-0j 2.82736e-05-0j 0.0451169-0j -0.0915994-0j 3.45973e-08-0j -1.30823e-06-0j -4.11365e-07-0j 2.88311e-09-0j 2.85006e-05-0j 1.63964e-05-0j -7.32293e-08-0j -0.000391042-0j -0.000556289-0j -0.309208-0j -0.0345434-0j 
-1.18222e-09-0j 6.39515e-08-0j -1.55771e-10-0j -2.16333e-06-0j 6.52702e-09-0j 5.27292e-05-0j 0.0651485-0j -1.08971e-09-0j 5.77564e-08-0j -1.36214e-10-0j -9.08093e-11-0j -1.89173e-06-0j 7.61007e-09-0j -8.02648e-12-0j 4.34721e-05-0j -1.93074e-07-0j -0.000732048-0j -0.361927-0j 
