-0.0373218-0j -0.0197929-0j -0.0161608-0j -0.00766574-0j -0.00663873-0j -0.00257117-0j -0.000385675-0j -0.0375903-0j -0.0195325-0j -0.0154418-0j -0.0102945-0j -0.00732468-0j -0.00845781-0j -0.00299029-0j -0.00231627-0j -0.00245677-0j -0.000672814-0j -8.24026e-05-0j 
0.0191217-0j -0.0350713-0j 0.00827995-0j -0.0310936-0j -0.0117633-0j -0.0163024-0j -0.00420732-0j -0.504094-0j -0.0346099-0j 0.00791155-0j 0.00527437-0j -0.0297102-0j -0.0149865-0j 0.00153207-0j -0.0146862-0j -0.00996511-0j -0.00580283-0j -0.00108716-0j 
-0.319547-0j 0.00785505-0j -0.0509557-0j 0.00304225-0j -0.044499-0j -0.008107-0j 0.00015306-0j 0.0149182-0j -0.167236-0j -0.0486885-0j 0.00408551-0j 0.00290689-0j -0.0266678-0j -0.030659-0j 0.00091924-0j -0.0164676-0j -0.00212141-0j 3.27025e-05-0j 
0.151574-0j 0.029498-0j -0.00304225-0j -0.0330771-0j 0.00989394-0j -0.045263-0j -0.025699-0j -0.00707631-0j -0.628019-0j -0.00290689-0j -0.00193793-0j -0.0316055-0j 0.012605-0j -0.000562917-0j -0.0407757-0j -0.0106008-0j -0.0258206-0j -0.00843593-0j 
0.0135211-0j -0.12192-0j -0.0729485-0j -0.0346025-0j 0.00240511-0j 0.000931494-0j 0.000139724-0j 0.0136184-0j 0.00707631-0j -0.0951178-0j -0.0966667-0j -0.0451183-0j -0.0381778-0j 0.00108333-0j -0.0104554-0j 0.00089005-0j 0.00024375-0j 2.98532e-05-0j 
-0.00785505-0j -0.244957-0j 0.0270233-0j 0.012773-0j -0.081616-0j -0.0532061-0j 0.00172833-0j -0.00791155-0j 0.0142175-0j -0.439024-0j -0.00216667-0j -0.207512-0j -0.0489117-0j 0.0162594-0j 0.00603296-0j -0.06914-0j -0.0189387-0j 0.000446596-0j 
-0.0052367-0j 0.00960467-0j 0.0587732-0j -0.220711-0j 0.00322151-0j 0.00446458-0j 0.00115222-0j -0.00527437-0j 0.00947832-0j -0.00216667-0j -0.447031-0j 0.00813648-0j -0.106378-0j -0.000419574-0j -0.104246-0j 0.00272906-0j 0.00158917-0j 0.00029773-0j 
0.00215119-0j 0.240047-0j 0.000931494-0j 0.0413192-0j -0.00473541-0j -0.0315764-0j -0.0931567-0j 0.00216667-0j -0.0139325-0j -0.0151332-0j 0.000593367-0j -0.671277-0j -0.00603296-0j 0.000172357-0j -0.0284459-0j 0.0132423-0j -0.0567689-0j -0.0423903-0j 
-0.00453511-0j -0.00240511-0j -0.413255-0j 0.011606-0j -0.101033-0j 0.00527693-0j -4.68649e-05-0j -0.00456774-0j -0.00237347-0j 0.0316919-0j 0.032423-0j -0.00089005-0j -0.216278-0j -0.1553-0j 0.00350686-0j -0.0373891-0j 0.00138085-0j -1.00131e-05-0j 
0.00304225-0j -0.012773-0j 0.130403-0j -0.178457-0j 0.0723594-0j -0.155716-0j 0.011128-0j 0.00306413-0j -0.012605-0j -0.0100004-0j -0.02175-0j 0.0136856-0j -0.540301-0j -0.00629722-0j -0.219991-0j -0.0775291-0j -0.0888294-0j 0.00365286-0j 
0.00152112-0j -0.00278991-0j -0.0170165-0j -0.00247348-0j -0.399945-0j 0.0335036-0j -0.00033469-0j 0.00153207-0j -0.0027532-0j -0.0162594-0j 0.000419574-0j -0.00236343-0j 0.0307995-0j -0.357517-0j -0.00116828-0j -0.338808-0j 0.0119256-0j -8.64829e-05-0j 
-0.000589129-0j 0.0052594-0j 0.00317844-0j 0.307359-0j 0.00176406-0j 0.0594123-0j -0.173152-0j -0.000593367-0j 0.00519021-0j -0.00024375-0j 0.00421187-0j -0.0235709-0j -0.028002-0j -4.7202e-05-0j -0.666866-0j -0.00790592-0j -0.0248084-0j -0.134204-0j 
-0.000721532-0j 0.00473541-0j 0.00527693-0j -0.0138589-0j 0.198924-0j -0.178881-0j 0.0312457-0j -0.000726723-0j 0.00467311-0j 0.00504215-0j -0.000199021-0j -0.0132423-0j -0.0341768-0j -0.0247082-0j 0.00954105-0j -0.556281-0j -0.321597-0j 0.0142181-0j 
0.00015306-0j -0.00172833-0j -0.000526565-0j 0.011128-0j 0.00979105-0j 0.351071-0j -0.0373761-0j 0.000154161-0j -0.0017056-0j -0.000503137-0j 4.22188e-05-0j 0.0106329-0j 0.00586768-0j -0.000316823-0j -0.0398074-0j -0.0602356-0j -0.623509-0j -0.222251-0j 
-1.58432e-05-0j 0.00025382-0j -6.86032e-06-0j -0.00251688-0j 8.51339e-05-0j 0.0176805-0j 0.484231-0j -1.59572e-05-0j 0.000250481-0j -6.55509e-06-0j -4.37006e-06-0j -0.0024049-0j 0.000108461-0j -1.26939e-06-0j 0.0159277-0j -0.000806628-0j -0.074928-0j -0.614507-0j 
