0.00853696-0.00516235j -0.0952742+0.0203106j -0.117126-0.0423716j 0.0246538-0.0687583j 0.00834754-0.0541853j -0.00075621+0.0201555j 0.0579905+0.0616796j 0.0811776-0.0222597j 0.0545952-0.0730648j 0.0136618-0.037408j -0.0579239-0.00985905j 0.0147131-0.0406636j 0.0275973+0.0126385j -0.021815-0.00443959j 0.00458977+0.00345436j 
0.0349566+0.0203735j 0.00174206-0.0432584j -0.0270858+0.00460645j 0.0614471-0.0230107j -0.0502765+0.0106532j 0.0204043+0.0504837j 0.0456931+0.00597265j 0.0701391+0.0284977j -0.0584253-0.0198722j -0.00284686-0.0129919j -0.00196474+0.00716755j 0.00162786-0.13562j 0.0480023-0.0244155j -0.0752209-0.0264045j 0.047909-0.0188642j 
0.0182648-0.000443828j 0.0173789+0.042664j 0.0247727-0.0403092j 0.0584157-0.0134216j -0.0250868+0.0817325j 0.0482631+0.0429146j 0.00125057-0.0101612j -0.048866-0.0493345j 0.0500505-0.0469438j 0.00413512-0.028661j -0.0276446+0.0176815j 0.0180282+0.0808306j -0.0206775+0.0101399j 0.0327519+0.00247712j -0.0285039+0.00836564j 
0.076424-0.00196984j 0.00436897+0.00805041j -0.0106177+0.0198081j -0.0496889+0.00415783j 0.0230127-0.04027j -0.0248692-0.0219837j -0.0307229+0.00727929j -0.0318471-0.00914196j 0.0385682+0.00316181j -0.0142848+0.037748j -0.0250005-0.0121664j 0.00558621+0.0564552j 0.0109475+0.0552487j 0.0471966+0.0442371j -0.0550772+0.0183063j 
-0.0202524+0.0210877j -0.0066676-0.0455409j -0.00511639+0.0496073j 0.0119019+0.00759598j -0.0130716+0.0350853j 0.0122564+0.0213877j -0.0105447+0.0141509j -0.0585564-0.00597152j 0.00446539-0.00360592j -0.0366463+0.113338j -0.0192995-0.0156979j 0.00439868+0.00906455j 0.0473985+0.0771275j 0.0681213+0.0761824j -0.0774814+0.0276709j 
0.0192837-0.00194323j 0.0223951-0.00130788j 0.00787624+0.000937752j 0.00380323+0.0731041j 0.0121482+0.0434093j -0.00913591-0.031739j 0.0243361+0.0148147j -0.0294019-0.00612832j -0.0557809+0.0410554j 0.00716528+0.0104998j 0.105368+0.0020345j -0.0113241+0.0268323j -0.0807192-0.0633437j 0.0168343-0.0304945j 0.0205248-0.0125405j 
-0.016767+0.0237015j 0.0246374+0.00816702j 0.036155-0.0129677j -0.0109192+0.00238044j -0.00787316-0.00920303j -0.0207243-0.0378317j -0.0295408+0.0063908j -0.0285166+0.0290048j 0.00617001-0.00581632j -0.0107346-0.0011537j -0.0279354+0.0241916j -0.0104175+0.0647953j -0.0321457+0.0105929j 0.0654988+0.0378517j -0.0749155-0.00409632j 
0.00474201-0.0215834j -0.011479+0.000140478j -0.0141575-0.0139838j -0.0464276+0.0234039j 0.0262729-0.00671957j 0.0445528+0.0455393j 0.0299427-0.00817654j -0.0347365-0.0331956j 0.0330608-0.00334404j 0.0154431+0.0379751j 0.0331055-0.0310672j 0.0248164+0.0230262j 0.0176924+0.0106092j 0.00919462+0.0170825j 0.000497459-0.0089484j 
0.000153702+0.063119j -0.0103342+0.00282687j -0.0127298-0.00490696j -0.0206335+0.00934587j -0.0123812+0.00456993j 0.0188032+0.00306908j 0.0312878-0.0298222j -0.0108806-0.00989196j 0.00120806+0.0138478j -0.0133865+0.0196427j 0.0235576-0.0451695j 0.0039671-0.00569595j -0.0251086-0.00919332j 0.0220068-0.0203176j 0.055821+0.00416174j 
0.00130653-0.0273421j -0.0102873-0.0191015j -0.00931771-0.0328511j -0.0170621-0.0256059j -0.0521152+0.00314589j -0.000808613-0.0153129j 0.0104162-0.0197902j 0.0144207+0.0279353j 0.00323622-0.00844539j -0.0430887+0.01564j -0.0397417-0.0259286j -0.00791434-0.0184415j -0.0244095-0.00440514j 0.0498217-0.00680591j 0.0447949-0.00683516j 
0.00732149+0.0231904j 0.00627189-0.00862542j 0.00686675-0.00890373j -0.000306061+0.0132014j 0.0107784-0.0213476j 0.0212557+0.0227132j -0.0150718+0.0138113j 0.0164885+0.000483372j -0.00128458-0.013203j 0.0236538-0.0230296j 0.00870325+0.0223106j 0.00927213-0.0327505j 0.0448848-0.0163526j -0.0587609+0.0112557j -0.0100686-0.0193995j 
-0.000262418+0.00481834j -0.00210201+0.0135001j 0.0105105+0.0129236j 0.00660384-0.00873261j 0.00851824+0.0147719j -0.0214842-0.0101303j -0.0130533+0.0303868j -0.0284754-0.00535864j 0.0130717-0.0104071j -0.0155895+0.0182571j -0.0123698-0.0111746j -0.00618288-0.0134481j -0.00480342-0.0288987j -0.0195093-0.0187268j 0.108431-0.0399132j 
