0.978826-5.42101e-19j -0.136958+0.00519215j 0.151037+0.0157983j 0.0215046+0.0369278j -0.0508417+0.034425j 0.000443714-0.015028j -0.0115051-0.0057675j -0.0257137-0.0364739j -0.0455984+0.0350913j 0.000939648-0.0132225j -0.0249737-0.00172808j -0.00270967-0.0173669j -0.00192822+0.0284729j 0.00153133-0.0264185j 0.0254425+0.00289071j 0.00258116+0.00918729j 0.0313282+7.92554e-05j -0.00714852-0.0132311j 0.0285311-0.00107032j 0.000795106+0.0166244j -0.00465342+0.0217762j 0.00793644-0.0277744j -0.0196452-0.0075305j 0.00582131+0.013381j 
-0.136958-0.00519215j -0.0135533+3.03577e-17j 0.0175353-0.000119061j -0.0561229-0.019065j -0.00337601+0.0442729j -0.0698878-0.0562485j -0.0417567+0.0512471j -0.0301718-0.0977026j 0.0810108-0.0512324j -0.00856633+0.0198403j 0.0201629-0.00178695j 0.00204816-0.0135539j -0.00638284-0.0557827j -0.00706961-0.0319583j 0.0167433-0.00110728j 0.00979565+0.003869j 0.000346258-0.00759245j -0.0021322+0.0362654j -0.0101199+0.0333176j 0.0106762+0.0542045j -0.0180129+0.0393534j 0.00673029+0.0260307j -0.0247346+0.00963052j 0.035866-0.0586999j 
0.151037-0.0157983j 0.0175353+0.000119061j 0.0180484+5.11743e-17j 0.137117+0.0530198j 0.0374775-0.132236j 0.012534+0.0188653j 0.0210621-0.031431j -0.0163303+0.00025059j -0.00151733+0.00318381j -0.00753112-0.0507271j -0.0270683+0.0137552j 0.00733278-0.0178318j 0.00389056-0.0746338j 0.00778592+0.0622437j 0.00399422+0.0187965j -0.0142117+0.0147104j 0.00138691-0.00700092j -0.00500552-0.00500505j 0.0184039-0.000261217j -0.00160049+0.0591966j -0.00224034+0.0127574j -0.0203949+0.024316j 0.00372761+0.0167169j -0.0175437+0.0239315j 
0.0215046-0.0369278j -0.0561229+0.019065j 0.137117-0.0530198j -0.0586619-1.66533e-16j 0.0103991+0.0133543j -0.125176-0.0291096j -0.0533089+0.0262156j -0.332605-0.290239j 0.263596-0.384892j -0.0490487-0.00127905j 0.0457919-0.0386627j 0.0389101+0.0243407j 0.00148874+0.0117302j -0.0284305-0.0233792j 0.0976-0.0279238j 0.0306757-0.0238717j -0.0159658-0.00162968j -0.0372242+0.0677387j 0.0324365+0.0632852j 0.0181118+0.0269215j -0.136257-0.0500272j -0.0471644+0.0576709j -0.0658368+0.11574j 0.0139423+0.028551j 
-0.0508417-0.034425j -0.00337601-0.0442729j 0.0374775+0.132236j 0.0103991-0.0133543j 0.0230062-6.10623e-16j 0.0399741-0.0711048j 0.0414024-0.0765021j 0.259115-0.374952j 0.394413+0.265452j -0.0242257-0.0337389j -0.00404164-0.00207359j 0.0446794+0.0403192j 0.0100064-0.00626864j 0.0103205+0.00926056j 0.0118383-0.00323797j -0.0388442-0.0258238j -0.000603052+0.0145654j -0.0349791-0.0188498j 0.0259697-0.0235197j -0.00914166+0.002567j 0.043679-0.0141871j -0.0434142+0.0148594j 0.0281331-0.117028j 0.053448+0.079431j 
0.000443714+0.015028j -0.0698878+0.0562485j 0.012534-0.0188653j -0.125176+0.0291096j 0.0399741+0.0711048j -0.408264-2.07889e-14j 0.0269038+0.472167j 0.178309-0.0339524j -0.0840444+0.0993211j -0.0485296-0.00127097j 0.0854711-0.0533172j -0.00671819+0.0210397j 0.0245752-0.00243474j -0.0284854-0.0723986j 0.0993582-0.0010211j 0.0619739+0.0108649j 0.032927+0.0210748j -0.0153088+0.0869562j -0.0283088+0.0831586j 0.0130124-0.0303576j 0.0175773-0.0520705j 0.0216985+0.0242356j -0.0543298-0.0184103j 0.0612306-0.0441501j 
-0.0115051+0.0057675j -0.0417567-0.0512471j 0.0210621+0.031431j -0.0533089-0.0262156j 0.0414024+0.0765021j 0.0269038-0.472167j -0.469789+8.10463e-15j 0.0788198+0.107273j -0.0304788-0.0369328j -0.0498394-0.0556786j 0.0365608-0.0112515j 0.0620192+0.0135278j -0.0218464+0.00682259j 0.0100809-0.00846768j 0.0375084-0.029078j -0.0143941+0.047066j 0.0103302-0.0262482j -0.0141764+0.0227677j -0.00610437-0.0664426j -0.0127353-0.0020173j -0.000684225-0.0329684j 0.0488296+0.0524651j -0.018946-0.0366674j 0.0609641+0.02245j 
-0.0257137+0.0364739j -0.0301718+0.0977026j -0.0163303-0.00025059j -0.332605+0.290239j 0.259115+0.374952j 0.178309+0.0339524j 0.0788198-0.107273j -0.0117363+7.57727e-15j -0.0131148+0.00757339j 0.038222-0.0304306j 0.142399-0.0170775j -0.0328647+0.0159374j -0.0188346+0.0325271j -0.00551474-0.162605j -0.0151094+0.0145788j 0.0225873-0.0154706j -0.0121593-0.0150644j 0.00375942+0.00183768j -0.0322688+0.0391569j -0.0108391+0.017382j 0.0112189+0.000168795j 0.0070207-0.0402369j -0.00480655-0.0041657j -0.00343623-0.0241308j 
-0.0455984-0.0350913j 0.0810108+0.0512324j -0.00151733-0.00318381j 0.263596+0.384892j 0.394413-0.265452j -0.0840444-0.0993211j -0.0304788+0.0369328j -0.0131148-0.00757339j -0.0105285-5.55112e-16j 0.104666+0.0142813j -0.0966494+0.0702724j 0.0114844+0.0871391j 0.0055589+0.000290078j 0.00891954+0.055361j 0.0283972+0.0158596j -0.0167668-0.0595357j 0.0104918-0.000784945j -0.0370598-0.0275524j 0.0356695+0.0282833j 0.00206797-0.0216699j -0.0160506+0.0111237j -0.0659519-0.0225806j 0.00665183+0.0221019j -0.0491003-0.00437074j 
0.000939648+0.0132225j -0.00856633-0.0198403j -0.00753112+0.0507271j -0.0490487+0.00127905j -0.0242257+0.0337389j -0.0485296+0.00127097j -0.0498394+0.0556786j 0.038222+0.0304306j 0.104666-0.0142813j -0.0349037-1.4988e-15j 0.0446339-0.0179569j 0.0219109+0.00667231j 0.00274767+0.00416024j -0.0141758-0.0190825j 0.0535917-0.00677072j 0.0223665-0.00896569j -0.00817989-0.00230573j -0.0147503+0.00656938j -0.0127072+0.0149307j 0.0285811-0.0163284j -0.136021+0.0675797j -0.109304-0.110319j 0.36345+0.317986j -0.376509+0.535871j 
-0.0249737+0.00172808j 0.0201629+0.00178695j -0.0270683-0.0137552j 0.0457919+0.0386627j -0.00404164+0.00207359j 0.0854711+0.0533172j 0.0365608+0.0112515j 0.142399+0.0170775j -0.0966494-0.0702724j 0.0446339+0.0179569j 0.00631461-1.06165e-15j -0.058022-0.0124538j -0.00407255-0.00663902j -0.00780391+0.012899j 0.0119314-0.0117102j 0.0668636-0.0136142j 0.00476197-0.000205172j -0.0130774-0.0270888j 0.0586268-0.0160271j 0.0456792+0.0331027j -0.30944-0.232485j -0.0895489+0.140511j -0.0668218+0.0364139j 0.423139+0.27432j 
