-0.205371-0j 0.365793-0j -0.3695-0j -0.118553-0j 0-0j 0.171296-0j 0.175642-0j 0-0j 0.219423-0j 0-0j -0.348579-0j 0-0j -0.114206-0j 0-0j 0-0j 0-0j 0.35499-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.197811-0j 0-0j 0-0j 0-0j 
0.00296154-0j -0.244304-0j -0.141637-0j 0.547682-0j 0-0j -0.200305-0j 0.197811-0j 0-0j -0.00157709-0j 0-0j -0.105044-0j 0-0j -0.674426-0j 0-0j 0-0j 0-0j 0.080756-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.228413-0j 0-0j 0-0j 0-0j 
-0.244304-0j -0.439873-0j 0.252275-0j 0.0430311-0j 0-0j 0.35677-0j 0.0699368-0j 0-0j -0.267622-0j 0-0j 0.288641-0j 0-0j 0.0466245-0j 0-0j 0-0j 0-0j 0.0285516-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.080756-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j -0.0854111-0j 0-0j 0-0j 0.203449-0j 0-0j 0.030237-0j 0-0j -0.173107-0j 0-0j -0.132287-0j -0.496563-0j 0.230201-0j 0-0j 0.411191-0j 0.0802502-0j 0.266362-0j 0.0912552-0j -0.0901331-0j 0-0j -0.229128-0j -0.417171-0j 0.105072-0j 
-0.426696-0j -0.15086-0j 0.0944296-0j 0.080756-0j 0-0j 0.121134-0j -0.369529-0j 0-0j 0.153224-0j 0-0j 0.0127687-0j 0-0j 0.080756-0j 0-0j 0-0j 0-0j 0.665589-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0.139874-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j -0.303609-0j 0-0j 0-0j -0.00231454-0j 0-0j 0.121387-0j 0-0j -0.0766185-0j 0-0j 0.000505814-0j 0.109379-0j 0.140312-0j 0-0j 0.00416891-0j -0.098286-0j -0.270289-0j 0.109024-0j 0.328447-0j 0-0j 0.000876096-0j 0.0289868-0j -0.128687-0j 
0-0j 0-0j 0-0j 0-0j -0.233442-0j 0-0j 0-0j 0.14075-0j 0-0j 0.486207-0j 0-0j 0.165082-0j 0-0j -0.479878-0j -0.058905-0j -0.0833042-0j 0-0j 0.0574608-0j 0.233461-0j -0.28397-0j 0.124313-0j -0.124323-0j 0-0j 0.162524-0j -0.163049-0j -0.148595-0j 
0-0j 0-0j 0-0j 0-0j 0.239365-0j 0-0j 0-0j -0.142513-0j 0-0j -0.0953099-0j 0-0j 0.503595-0j 0-0j -0.473904-0j -0.173107-0j 0.0802502-0j 0-0j -0.288033-0j -0.233461-0j -0.0260192-0j 0.124323-0j -0.127467-0j 0-0j 0.1605-0j 0.00553779-0j 0.148595-0j 
-0.197811-0j -0.0699368-0j -0.121134-0j -0.114206-0j 0-0j 0.531368-0j 0.531368-0j 0-0j -0.216691-0j 0-0j -0.0180576-0j 0-0j -0.114206-0j 0-0j 0-0j 0-0j -0.0699368-0j 0-0j 0-0j 0-0j 0-0j 0-0j -0.197811-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j -0.14075-0j 0-0j 0-0j 0.00332822-0j 0-0j -0.171667-0j 0-0j 0.098286-0j 0-0j -0.00071533-0j -0.140312-0j 0.615493-0j 0-0j -0.000438048-0j -0.431143-0j -0.125303-0j -0.154184-0j 0.152264-0j 0-0j -0.00123899-0j -0.0409935-0j 0.18199-0j 
0-0j 0-0j 0-0j 0-0j -0.28397-0j 0-0j 0-0j 0.125303-0j 0-0j 0.198101-0j 0-0j -0.0179445-0j 0-0j 0.0835351-0j 0.1837-0j 0.259792-0j 0-0j 0.0511546-0j -0.0253773-0j -0.331368-0j -0.311073-0j -0.0277995-0j 0-0j 0.144687-0j 0.0525016-0j -0.0332267-0j 
