0.0286753+2.47365e-13j 0.00738064+0.000138718j 0.0239659+0.00294092j -0.0399971-0.0088188j 0.00797257+0.000248902j -0.0212297-0.00195031j 0.0211124+0.00295434j 0.0239253+0.00539777j 0.0109965-0.00772954j 0.0192896+0.00232236j 0.0301315+0.0130184j 0.0132471+0.0154296j 0.0228468+0.00932482j 0.00647491+0.0390664j 0.00635313-0.0122083j -0.0123527-0.0111868j 0.0781324+0.00470674j 0.0272971+0.0308211j 0.067456+0.0629212j 0.195122-0.021712j -0.0568901-0.00734326j 0.49759-0.119658j 
0.00738064-0.000138718j -0.0346417+1.19904e-14j 0.0267239+0.00365276j 0.0172326+0.00446873j 0.00680649-0.00525178j 0.0484543+0.0154718j 0.00607642+0.00468484j 0.0272107+0.0111793j -0.0342907-0.0194621j -0.0150337-0.0018468j 0.0520765+0.0115056j 0.0033491-0.00924263j -0.0280576-0.00936705j 0.0259117+0.00105738j 0.0443918+0.0129814j 0.0355958+0.0106396j -0.0232213+0.00526767j 0.0352379-0.0203037j -0.165159+0.0518868j 0.15896+0.0987768j -0.440896+0.122014j 0.00555595+0.019878j 
0.0239659-0.00294092j 0.0267239-0.00365276j 0.0136385+1.94289e-15j -0.0402054-0.00458457j -0.00705925+0.00172164j -0.0223215+0.00152746j 0.0308691+0.00300597j 0.0321225+0.0038565j 0.00493967+0.00057139j 0.0303932+0.000748291j 0.014982+0.00570679j 0.0076355+0.0138777j 0.0410944+0.0105616j 0.000112048+0.0387899j 0.0121726-0.0256173j -0.0171196-0.0162775j 0.182717-0.0413395j 0.0239117+0.0181611j 0.174281+0.0988873j -0.503355+0.151297j 0.158062+0.0998283j -0.176793+0.027712j 
-0.0399971+0.0088188j 0.0172326-0.00446873j -0.0402054+0.00458457j -0.000241063+1.6584e-15j -0.0189323+0.00534338j -0.0226493-0.00966789j -0.0426403-0.00716778j -0.0627645-0.00455333j -0.0195732+0.00317801j 0.00200357+0.0050165j -0.0399465+0.0376657j 0.0208935+0.0625739j 0.0171509+0.0317868j 0.170978+0.00665799j -0.149566-0.0153062j -0.115434-0.0248138j -0.100714-0.0537197j 0.0936476+0.0276835j -0.364287+0.0951086j 0.144361+0.104204j -0.148253+0.0604007j -0.0844896-0.0589125j 
0.00797257-0.000248902j 0.00680649+0.00525178j -0.00705925-0.00172164j -0.0189323-0.00534338j 0.0340636+7.98459e-14j -0.0592668-0.011273j -0.00835553-0.00468517j -0.019713-0.00533022j 0.0360242-0.00279221j 0.00262215+0.00745103j 0.0424275-0.00976401j 0.0207886-0.00586287j -0.0140925-0.0238848j -0.0338877-0.00832176j -0.0831345-0.0105989j -0.141746-0.0095418j 0.00626687+0.0343012j -0.598297+0.0629525j 0.0776755+0.0290371j 0.0336082+0.0210077j 0.030439-0.0168285j -0.02098-0.0341186j 
-0.0212297+0.00195031j 0.0484543-0.0154718j -0.0223215-0.00152746j -0.0226493+0.00966789j -0.0592668+0.011273j 0.00165882+1.82784e-13j 0.0343444+0.00146796j 0.0101505-0.0132514j -0.0238617+0.0538821j 0.0513319-0.0240519j -0.190379-0.00140227j -0.0801244-0.00889324j 0.0616846-0.0265306j 0.0241955+0.0369493j -0.0062962-0.0378545j 0.00933672-0.0261794j -0.444391+0.0263192j -0.00130145+0.035912j -0.0959698-0.0507273j 0.170814-0.0443581j -0.00975859+0.0047157j -0.0757871-0.00400993j 
0.0211124-0.00295434j 0.00607642-0.00468484j 0.0308691-0.00300597j -0.0426403+0.00716778j -0.00835553+0.00468517j 0.0343444-0.00146796j -0.014361-8.3808e-14j 0.0315995+0.00642695j -0.0629885+0.00113508j 0.125181-0.023169j 0.0653457+0.0108186j -0.0447926+0.0124984j -0.0549288-0.00425134j -0.0463967-0.0238516j 0.149816+0.000544757j -0.578148+0.039172j 0.0121802-0.0265462j -0.121937-0.0115703j -0.112702-0.0252696j -0.0214346-0.0180455j 0.0331308+0.00954467j 0.0153783+0.0130384j 
0.0239253-0.00539777j 0.0272107-0.0111793j 0.0321225-0.0038565j -0.0627645+0.00455333j -0.019713+0.00533022j 0.0101505+0.0132514j 0.0315995-0.00642695j 0.0472052+2.70389e-11j -0.0861152+0.0222666j 0.0263759+0.00368085j 0.133198+0.0024581j -0.13658-0.0321701j 0.0356426+0.0139461j -0.107498+0.0249103j -0.592473+0.0594821j 0.143488+0.000704404j -0.0017936-0.0371297j -0.07276-0.0127455j -0.144758-0.0144171j 0.00414279-0.026663j 0.0447923+0.0117526j -0.00158651+0.0136971j 
0.0109965+0.00772954j -0.0342907+0.0194621j 0.00493967-0.00057139j -0.0195732-0.00317801j 0.0360242+0.00279221j -0.0238617-0.0538821j -0.0629885-0.00113508j -0.0861152-0.0222666j 0.151122-3.30742e-13j 0.0369619+0.001161j -0.00881712+0.0524049j 0.0408504+0.0378039j 0.0959378+0.0266546j -0.551572+0.039641j -0.0908134+0.0234393j -0.0425209-0.0240005j 0.0166036+0.0353236j -0.0192481-0.00822405j 0.157586+0.00506772j 0.0153668+0.0396862j 0.0182973+0.00531118j -0.00332635-0.0406263j 
0.0192896-0.00232236j -0.0150337+0.0018468j 0.0303932-0.000748291j 0.00200357-0.0050165j 0.00262215-0.00745103j 0.0513319+0.0240519j 0.125181+0.023169j 0.0263759-0.00368085j 0.0369619-0.001161j -0.0822844-6.44762e-14j 0.0308939-0.0324545j -0.0343619-0.00480555j 0.580776-0.008294j -0.0820279-0.0280501j -0.0241903-0.0143334j 0.0442849+0.00494369j -0.0646299+0.0263093j 0.00564629+0.0254533j -0.0183395-0.0323253j -0.0385604-0.0123941j 0.0235166+0.00840269j 0.0246507+0.0102807j 
0.0301315-0.0130184j 0.0520765-0.0115056j 0.014982-0.00570679j -0.0399465-0.0376657j 0.0424275+0.00976401j -0.190379+0.00140227j 0.0653457-0.0108186j 0.133198-0.0024581j -0.00881712-0.0524049j 0.0308939+0.0324545j -0.531426+5.90312e-11j 0.0423138-8.4802e-05j -0.0290942+0.0322332j -0.00603068+0.0506557j 0.122177+0.00374307j 0.0627023+0.0117843j -0.180178-0.000680695j 0.038106-0.0122644j -0.0383306+0.0384452j 0.0095288+0.00691362j 0.0527305+0.0126953j -0.0221135-0.0123344j 
