-0.0389514+4.96998e-16j -0.01624-0.000315023j 0.00471109-0.00290732j -0.0733556+0.00404431j 0.0290284-0.000812042j -0.0153154+0.00503786j -0.00245724-0.000697087j -0.0462102+0.00446187j -0.000127075+0.000233238j 0.0227699-0.00558873j -0.0648001+0.00450659j -0.102814+0.00205455j 0.0617688+0.00177244j 0.115166-0.0072669j 0.1677+0.00237236j 0.177453-0.0030757j -0.0164095+0.014249j 0.138884-0.00915235j -0.0309886-0.00696964j 0.00792069+0.00253415j 0.11066-0.00650312j 0.0276473+0.0028932j -0.000486864+0.00521137j -0.0650661-0.00793161j -0.00028633-0.00668529j -0.0188521-0.0108664j 
-0.01624+0.000315023j 0.0444961-6.18429e-16j 0.0614923-0.00148533j -0.0201056-0.00116962j 0.0115471+0.00337744j -0.0508715-0.000274839j 0.000746853+5.66841e-05j -0.0519557-0.00241372j 0.0362297+0.000565681j 0.0454778-0.00373452j -0.051631-0.00279902j -0.00832368-0.00714556j -0.0535897+0.00142913j 0.00942412+0.00748453j -0.214049+0.0139641j 0.0787109+0.00710678j -0.218592+0.00567481j 0.0956431+0.00652099j 0.0501318-0.0033867j -0.0470026+0.000812064j 0.00591931+0.00747752j -0.040975+0.00843869j 0.0762208-0.00298419j 0.0154229+0.00665471j 0.0172246+0.00955201j 0.00106584-0.00406099j 
0.00471109+0.00290732j 0.0614923+0.00148533j 0.0589321-1.73472e-17j -0.0243863+0.00545791j -0.00908912+0.00458193j -0.0849212-0.000505092j -0.0139749+0.00254546j -0.0468194-0.00212311j -0.0812051+0.00548957j 0.0642929-0.00630295j -0.030223+0.000388338j -0.0393646-0.00266587j -0.151244-0.00117778j 0.337606-0.0123714j -0.0854114-0.0080106j -0.325947+0.00437815j 0.0379707-0.00093831j -0.0379591+0.00282834j -0.166228+0.00539676j -0.0263364-0.00267161j 0.0194416-0.00375564j 0.0528397-0.00422245j 0.00416977+0.000675895j -0.000270475-0.0172915j -0.00843241-0.00641407j -0.0279758-0.0074182j 
-0.0733556-0.00404431j -0.0201056+0.00116962j -0.0243863-0.00545791j 0.0440769+1.86022e-16j 0.123475+0.000326146j 0.0192784+0.0049506j -0.0277208-0.00174212j -0.0702106+0.00644521j 0.326459+0.00188729j -0.105483-0.00252073j -0.154568+0.00127308j -0.320677+0.00174776j -0.107973-0.00365931j -0.184902-0.00383189j -0.112911+0.00337655j -0.144495+0.0100632j -0.156295-0.00273787j 0.070743-0.00387257j 0.139142-0.00134445j 0.0520887-0.00341103j 0.0410962-0.00196337j -0.0229234+0.00842959j 0.0761518-0.00185463j 0.0114102+0.00677671j -0.0478188+0.000684363j -0.00300324-0.000172357j 
0.0290284+0.000812042j 0.0115471-0.00337744j -0.00908912-0.00458193j 0.123475-0.000326146j 0.0509465-2.1593e-15j -0.0263297-0.000141005j -0.007033+0.00127335j -0.0541724+0.00132902j 0.274396-0.00237457j -0.00568461-0.000151136j 0.0450955-0.000567353j 0.222278-0.00358488j -0.0649656-0.00286031j 0.0692461+0.00662673j 0.292585+0.0111062j -0.624647-0.000809073j 0.321563+7.41374e-05j -0.162291-0.00726721j -0.0971971-0.00184818j 0.0760951-0.00237192j -0.0603722+0.00404481j 0.057634-2.59992e-05j -0.0919332-0.00455287j 0.061724-0.00618744j 0.0693199+0.00304238j -0.0506762+0.0127893j 
-0.0153154-0.00503786j -0.0508715+0.000274839j -0.0849212+0.000505092j 0.0192784-0.0049506j -0.0263297+0.000141005j 0.0358915-2.12547e-15j 0.0176731-0.00280087j 0.120698-0.000574444j -0.147909+0.00243381j 0.152149+0.00593038j 0.333829-0.00436417j -0.642368-0.000338111j 0.0358349+0.00036996j 0.18001+0.00240815j 0.104639+0.00298818j -0.0742322+7.40568e-05j 0.159819+0.00198524j -0.0808593+0.00802103j -0.141817-0.000389432j 0.117659-0.00166099j 0.0588158-0.0074755j 0.0635651-0.00783506j -0.0183689+0.00240141j -0.00211231-0.00451978j 0.0525751-0.00790773j 0.0336334+0.00699715j 
-0.00245724+0.000697087j 0.000746853-5.66841e-05j -0.0139749-0.00254546j -0.0277208+0.00174212j -0.007033-0.00127335j 0.0176731+0.00280087j 0.0492883+4.07443e-16j 0.065013+0.00259077j -0.238265-0.00260386j -0.313259-0.000564031j -0.0124698+0.00384803j -0.151805+0.00266968j -0.300054+0.00266336j -0.0380013+0.000811934j -0.583578-0.00087885j -0.320092-0.0084144j -0.0736296+0.00358925j -0.2518+0.00468232j 0.00648147+0.004517j -0.0771809-0.000323293j -0.114432-0.00153202j -0.0369625-0.00427441j 0.0768747-0.00659018j 0.0944482+0.00552243j -0.0385645+0.0149854j -0.0805964+0.00101734j 
-0.0462102-0.00446187j -0.0519557+0.00241372j -0.0468194+0.00212311j -0.0702106-0.00644521j -0.0541724-0.00132902j 0.120698+0.000574444j 0.065013-0.00259077j 0.124-6.99094e-16j -0.174337-0.000867289j -0.24647+0.00177727j -0.661473+0.00134353j -0.11088+0.00122784j -0.0415034+0.00302985j 0.262487+0.00694245j 0.23133+0.00125241j -0.00487876+0.00160953j 0.222013+0.00298375j -0.00188111+0.00151392j -0.0629317-0.00408596j -0.0269803+0.00290129j 0.127266-0.00902979j 0.0668875-0.00150345j -0.0197549+0.0026128j -0.0180367-0.00602538j 0.0431215-0.0104478j 0.0623467+0.00281195j 
-0.000127075-0.000233238j 0.0362297-0.000565681j -0.0812051-0.00548957j 0.326459-0.00188729j 0.274396+0.00237457j -0.147909-0.00243381j -0.238265+0.00260386j -0.174337+0.000867289j -0.534913-8.28595e-14j 0.315591+0.002608j -0.289428-0.00131244j 0.00200666-0.003403j 0.140643-0.00726792j -0.153493+0.00279358j -0.00523313+0.00316146j -0.122757+0.00404032j -0.141267+0.00607648j 0.0411556+0.00276729j -0.125962+0.00911081j -0.0786687-0.0115838j -0.0132599-8.47083e-06j 0.0155846+0.00557638j 0.0135327-0.00409281j 0.0090705-0.000426347j -0.0157617+0.00190177j -0.00454052-0.000282284j 
0.0227699+0.00558873j 0.0454778+0.00373452j 0.0642929+0.00630295j -0.105483+0.00252073j -0.00568461+0.000151136j 0.152149-0.00593038j -0.313259+0.000564031j -0.24647-0.00177727j 0.315591-0.002608j 0.275877-2.21643e-15j -0.14045-0.000672937j -0.296507-0.00127458j -0.276525-0.00607883j 0.234945+0.00436184j -0.00722063-0.00100914j -0.0827483+0.000636566j -0.202133+0.0012055j 0.242772-0.00348482j -0.00740967-0.00437274j 0.0410269-0.00190383j 0.125252-0.000433337j 0.0243401+0.00963281j 0.0809603-0.00353994j 0.0287141-0.0019311j -0.0498403-0.00410568j 0.0604186-0.0120154j 
-0.0648001-0.00450659j -0.051631+0.00279902j -0.030223-0.000388338j -0.154568-0.00127308j 0.0450955+0.000567353j 0.333829+0.00436417j -0.0124698-0.00384803j -0.661473-0.00134353j -0.289428+0.00131244j -0.14045+0.000672937j 0.268442-9.98501e-15j 0.147413+0.00049586j -0.310688+0.00750645j -0.0334289+0.00283703j 0.177917-0.00348286j 0.0612224+0.00104112j 0.0292984+0.00292936j -0.0247961-0.00104657j -0.104359-0.00158679j -0.0594969+0.00259771j 0.00321119-0.00242818j 0.00403907-0.00482732j -0.0275089+0.00222311j 0.002803-0.00182635j 0.0161121-0.00327098j 0.0182305+0.0020459j 
