-0.00597634-1.21431e-17j -0.00763479+1.65974e-05j 0.00640315+0.000664602j -0.000985875-0.000107267j 0.00139388+0.00039719j -0.0051184-0.000111108j 0.00159721+0.00013231j 0.00600452+0.000864439j -0.00171892+0.000127631j -0.00103384+0.000276285j -0.00259201-0.000247342j -0.00632169-0.000575144j -0.00305633-0.000659026j -0.00131802-0.000238714j -0.00164263-0.000163992j -0.00150206-0.000189321j -0.00331099-0.000183155j -0.00485844-0.000710483j -0.0017588-8.39472e-05j -0.00300437-0.000268555j -8.1944e-05+0.000153557j -0.00123334+2.91384e-05j 0.00352562+0.000409099j 0.00135739-4.27808e-05j -0.000248979-6.26217e-05j 0.000128959+0.00200946j 0.000573279-0.0012273j 4.06504e-05-1.78521e-05j 0.0014683+0.00033301j 0.00286843+0.000153547j -0.00265456-0.000275833j -0.00205332-0.000100079j -0.00172014+0.000187211j 0.00216863+0.000112643j 0.000152684-0.000436114j 0.00379542+0.000323292j -0.00190231-0.000210906j 0.000577208-4.21553e-05j 0.00306812+6.59889e-05j -0.0017064+0.000238009j -0.00270563+5.20487e-05j 0.00458723+0.000369063j 0.00192212+0.000329285j 0.00692887+0.001012j -0.00393035+0.00112585j 0.00409573+0.000441954j 0.0112542+0.000518943j -0.00865305-0.000588481j -0.0135244-0.00546099j 0.0235809-0.0022078j -0.000702893+0.000160501j -0.890004+0.00468225j 
-0.00763479-1.65974e-05j 0.00882715-2.60209e-18j -0.00220309-0.000226767j -0.00667693-0.000791462j -0.00244577-3.47986e-05j 0.00305103+3.17446e-05j 0.00605481+0.000589362j -0.00105224-0.000215252j 0.00314301+0.000129702j -0.00034664+0.000127416j 0.00393337+8.73201e-05j -0.00306621-0.000414911j 0.00191371+0.000434934j 0.00275917+0.000170032j -7.34716e-05+0.000210199j 0.000643473+1.89521e-05j 0.00096373+2.50766e-05j -0.00212685-0.00014582j 0.00125598+5.09297e-05j -0.000258816-0.000392289j -0.00467682-0.000338809j 0.000654123+1.45986e-05j -0.00196307-2.48298e-05j 0.000295033-0.000221602j -0.000562563-0.000204315j 0.000230305+0.00164225j 0.000103802-0.000456222j 0.000228661+0.000182361j -0.00392952-0.000654463j -0.00110542-9.49596e-05j -0.00108892-0.000331095j -0.00471539-0.000511369j -0.00167976-0.00054386j -0.000853659-0.000408494j -0.000958289+0.000701896j -0.00158003+2.84647e-05j 0.00128796-0.000132441j -0.00451341-0.000786956j 0.00306238+0.000557558j 0.00144532+0.000142681j 0.00528238-0.000100485j 0.00197831+0.000265428j -0.00676443-0.0014794j 0.00302931+0.00013433j 0.00795408+0.00108144j 0.0088564-0.000335787j -0.00353819-0.000243107j -0.0066061-0.000524808j -0.0219871+0.00257224j -0.0129808-0.00583292j -0.884329+0.00503736j -0.000702893+0.000160501j 
0.00640315-0.000664602j -0.00220309+0.000226767j -0.00227381-2.38524e-17j -0.00385962+0.000160611j 0.00350074-0.000121933j 3.25315e-05-1.5669e-05j -0.000502787+0.000237862j -0.00436683-0.000567761j 0.00134113+0.000458023j 0.00372909-0.00021202j -0.00274676-0.000273222j 0.00275586-3.21907e-05j 0.00487482+0.00100233j 0.000168934+0.000314972j 0.00273191-0.000361486j -0.000899556+0.000189784j 0.0016883+5.2567e-05j 0.00502287+0.000493024j 0.00167406+0.000324459j 0.000207588+0.000368087j 0.00210952+0.000194986j 0.00290485+0.000838166j 0.00102778+0.000615571j -0.00441113-0.000273169j -0.00296617-0.000520939j -0.000290471-0.000115882j 0.0015186-0.000587705j 0.00204988-7.50551e-05j -0.00367527-0.000736762j -0.0013069-0.000452032j -0.000146718-0.00103799j 0.00186708-0.000130401j -0.00188831-0.00121526j -0.00658424-0.000790816j 0.0064371+0.00147593j -0.000102522+0.000212436j -0.00524967-0.00164229j -0.0048753-0.00115077j 0.000905785+0.00174383j 0.0023879-0.00122157j -0.00678913+0.000296068j 0.000516314+0.000463254j -0.0132708-0.00218605j -0.00508062-0.000645213j 0.0169406-0.00360617j -0.0255102-0.00140605j -0.0113237-0.00178943j -0.0213849-0.00540081j 0.00939622-0.00021293j 0.891233-0.00686456j 0.0129808+0.00583292j -0.0235809+0.0022078j 
-0.000985875+0.000107267j -0.00667693+0.000791462j -0.00385962-0.000160611j 0.00208066+2.25514e-17j -0.00281814-0.000330518j -0.00836982-1.80026e-05j -0.00176614+0.000125303j -0.00790613-0.00117932j -0.00605817+0.000371693j -0.00397162+9.50683e-06j -0.00294998-0.000202001j 0.00101526+0.000244936j 0.00665291+0.000768327j 0.00212523+0.000616167j 0.00272431+5.88302e-05j 0.000709136+0.000284733j -0.00155194+0.000282884j 0.00517214+0.000678372j -0.00281388+7.24917e-05j -0.00063068+0.000619121j 1.97063e-05-8.86587e-05j -0.00169247+0.000469226j 0.000329676-0.000194439j 0.0024283+6.26568e-05j 0.00112667-7.07667e-05j -9.94014e-05-0.00545837j 0.00341316-0.00185661j 0.00149829-3.4922e-05j -0.000785064+4.8687e-05j 0.00177468-0.000280737j 0.00264777+0.000104561j 0.00124964+0.000413934j -0.000580216+0.000211774j -1.38414e-05+0.000449759j 0.00596431-0.000731811j 0.000884873-0.000626629j -0.000789706+6.89178e-05j 0.00477988-0.000291048j 0.00318332-0.000519107j -0.00843526-0.000536727j -0.00737593+0.000640492j 0.000495425-0.00194901j -0.00728792+0.00048629j -0.0117557+0.000417023j -0.0287445-0.0020723j -0.00675899+0.00435136j -0.0103462-0.000577396j -0.00618539+0.00428005j -0.89788+0.00399831j -0.00939622+0.00021293j -0.0219871+0.00257224j -0.0135244-0.00546099j 
0.00139388-0.00039719j -0.00244577+3.47986e-05j 0.00350074+0.000121933j -0.00281814+0.000330518j 0.00462875-1.50921e-16j 0.00444755+0.000158186j -0.0026702-0.000183603j 0.00355414+0.000275533j -0.000755657-0.000406792j 0.00189582-0.000436076j 0.00189296+0.000378672j 0.00246982+0.000297572j -0.00433325-0.00024704j -0.00299902+0.000167418j -0.000243869+0.000100768j -0.00195981+0.000276072j 0.000896681+0.000243945j 0.00351537+0.000683944j -0.000720109-0.000818821j -0.0013751-0.000220199j -0.000589589-0.000230476j -0.0021794-0.000751104j -0.00222271-0.000174861j -0.00239607+0.000441758j 0.000608075+0.00015246j -0.0023849-0.000962849j -0.00740827+0.00903616j 0.0012593-0.00011934j 0.00175077+0.00015289j 0.0027622+0.000138598j 0.00131175+0.000904431j 0.000350921-0.00032747j 8.11996e-05+0.000939143j 0.00341959-3.74206e-05j -0.00274547+5.45437e-05j -0.00252261+0.00032603j 0.00280202+0.00124461j -0.00148736+0.00152428j -0.0139037-0.000192904j 0.0108484+0.000589932j -0.00274792-0.000269117j 0.00747182+0.00176747j 0.0151149+0.00137681j -0.00985939-0.0016052j 0.00425735-0.00328356j 0.0032155+0.00375524j 0.00965619-5.1853e-05j -0.899168+0.00909274j -0.00618539+0.00428005j 0.0213849+0.00540081j -0.0066061-0.000524808j -0.00865305-0.000588481j 
-0.0051184+0.000111108j 0.00305103-3.17446e-05j 3.25315e-05+1.5669e-05j -0.00836982+1.80026e-05j 0.00444755-0.000158186j -0.00525901-3.0336e-16j 0.000155657+0.000207956j 0.00139562-0.000274376j 0.00356012+0.000215486j -0.00185373-0.000314174j 0.000142893-0.000231872j -0.00222584-0.000377681j -0.00123097+8.39249e-05j 0.000842681-0.000129963j -0.000260659-0.000414528j -0.0092699-0.000153708j -0.00112481+5.66717e-05j -0.00310589-0.000101336j 0.00328565+4.82672e-05j -0.00164768-0.000487064j -0.00376311+0.000326211j 0.00173654-0.000102298j 0.002608+0.00068597j -0.00113314-0.000257001j -0.00224021-9.56607e-05j 0.000284868+0.00436684j 0.000211814-0.00193608j 0.000442983-0.000174603j -7.12438e-05+0.000460479j 0.00572443-0.00025804j 9.64716e-05+0.000404018j -0.0029852+0.000573011j 0.00422403+0.000853632j -0.00324728+0.000642834j -0.0145362-0.00102837j 0.00135587+0.000381342j -0.0115347-0.000438234j 0.00765942+0.000423646j 0.00118685-5.14426e-05j 0.00392366+0.00055081j 0.00869409+0.00132346j 0.0152953-0.000776915j 0.0168399+0.000861158j 0.0010992+0.00139256j -0.00374632-0.00209529j 0.00844596+0.000240942j -0.908819+0.00276236j 0.00965619-5.1853e-05j -0.0103462-0.000577396j 0.0113237+0.00178943j -0.00353819-0.000243107j 0.0112542+0.000518943j 
0.00159721-0.00013231j 0.00605481-0.000589362j -0.000502787-0.000237862j -0.00176614-0.000125303j -0.0026702+0.000183603j 0.000155657-0.000207956j 0.00497594+5.50775e-17j 0.00133529+0.000297784j 0.00491399-0.000267966j 0.00392866-7.29396e-05j 0.00187286+0.000230257j -0.00445414-0.0001909j -0.00338797-0.000740512j 0.0035394-0.000160155j 0.00256252+0.000363848j 0.00136036-0.000342304j 0.00131925-0.000293745j -0.00949755-0.000682799j 1.63445e-05-0.000207859j 0.000439968-0.000488949j -0.00239203-0.000306147j 0.000517098-0.000957229j -0.00322838-0.000661532j 0.00134605+0.000330057j 0.000745524+0.000562283j 0.00232022+0.00208055j 0.00189957-0.00464272j -0.00113213+0.000143957j 0.000268949+0.000295218j -0.00105893+0.000749959j -0.00060131+0.00091824j -0.00120835-0.00048822j 0.00163894+0.00071198j 0.00573325+9.11239e-05j -0.0151146+4.07475e-06j -0.00363406+0.000170822j 0.0105656+0.00127954j 0.00228333+0.000707629j 0.000762759-0.00106712j 0.00707425+0.00203494j 0.0167601-0.00262875j -0.00724383-0.000475785j 0.00665035-0.00135877j 0.0105868-0.000822824j 0.00918125-0.000172491j -0.920277+0.00574511j 0.00844596+0.000240942j 0.0032155+0.00375524j -0.00675899+0.00435136j 0.0255102+0.00140605j 0.0088564-0.000335787j 0.00409573+0.000441954j 
0.00600452-0.000864439j -0.00105224+0.000215252j -0.00436683+0.000567761j -0.00790613+0.00117932j 0.00355414-0.000275533j 0.00139562+0.000274376j 0.00133529-0.000297784j 0.00306918-2.40584e-16j -0.000978727-0.000322579j 0.00680139-0.000869747j 0.00380797+0.000666308j 0.00245692-8.00152e-05j -0.00326624-0.000311582j -0.00227781+0.000868578j 0.00796083-7.17132e-05j -0.00441974+0.000615224j 0.000941483+0.000313451j -0.0024264+0.000836358j 0.00117098-0.00128516j -0.00395372+4.01377e-06j -0.00408717-0.000345052j -0.000716401-0.000488657j -0.00739794-0.000137406j -0.00447004+0.000798964j 0.000223982-0.000104117j -0.00249836-0.00384031j -0.00343332+0.00637919j 0.0043115-0.000831385j -0.00572053-0.000253586j 0.00553367-0.000236666j 0.00377478+1.39434e-05j -0.0048712-0.000964601j -0.00253468+4.30352e-05j -0.00565898-0.000580257j 0.00200134+0.00271636j -0.00411319+0.000920844j 0.0101282-0.000247271j -0.00265347+0.000417101j -0.00165988+0.00127466j 0.0272422-0.00223985j -0.00316949-0.00140183j -0.00142363-0.00109932j -0.0136039-0.00264022j -0.00459769+0.000928008j -0.909004+0.000993906j 0.00918125-0.000172491j -0.00374632-0.00209529j 0.00425735-0.00328356j -0.0287445-0.0020723j -0.0169406+0.00360617j 0.00795408+0.00108144j -0.00393035+0.00112585j 
-0.00171892-0.000127631j 0.00314301-0.000129702j 0.00134113-0.000458023j -0.00605817-0.000371693j -0.000755657+0.000406792j 0.00356012-0.000215486j 0.00491399+0.000267966j -0.000978727+0.000322579j -0.00151644-7.78566e-16j 0.00415629-0.00017206j -0.00181244-3.44731e-05j -0.0093772+0.000431566j -0.0027343-1.44598e-05j 0.00138737-7.41237e-05j -0.00263514+0.00018088j 0.00359292-0.000137485j 0.000972389-5.41686e-05j -0.00239668+0.000204639j -0.000579352-0.000327833j 0.000342951-0.000673939j -8.0604e-05-0.000564847j -0.00119424-0.000849464j 0.00348044+6.27646e-05j -0.00045225-0.000173418j -0.000337817-0.000447981j 0.00154762+0.00438828j -0.000960802-0.00133j 0.00552649+0.000663805j 0.00192956-0.000211811j -0.00512505+0.00059074j -0.0013989+0.00112338j -0.0031643-0.000685019j 0.00710049+0.00112251j 0.00697249-0.00188477j -0.00861366+0.000336304j 0.00791524+0.000352251j 0.0104124-0.000962546j -0.0131309-0.00073051j -0.00357785+0.00129943j 0.00442513+0.0017635j -0.00142823-0.000784855j 0.00934393+0.00154114j 0.0016319+4.19129e-05j -0.937275+0.00147815j -0.00459769+0.000928008j 0.0105868-0.000822824j 0.0010992+0.00139256j -0.00985939-0.0016052j -0.0117557+0.000417023j 0.00508062+0.000645213j 0.00302931+0.00013433j 0.00692887+0.001012j 
-0.00103384-0.000276285j -0.00034664-0.000127416j 0.00372909+0.00021202j -0.00397162-9.50683e-06j 0.00189582+0.000436076j -0.00185373+0.000314174j 0.00392866+7.29396e-05j 0.00680139+0.000869747j 0.00415629+0.00017206j 0.00815085-1.62197e-16j -0.00418162+4.36361e-05j -0.00162223-0.000249067j -0.00590365-0.000959059j -0.00220613-0.000540076j 5.65135e-05-0.000438767j -0.000910607-0.00026443j -0.00301376-0.000432643j -0.00951047-0.000601212j 0.00224955-0.000238253j 0.00484343-0.000145665j 0.00258245+0.000284144j 0.00178522-0.000366211j 0.00157134-8.39426e-05j 0.00104666+0.0003584j -0.00383246+0.000718629j 0.000819483+0.00199289j -0.000456835-0.00175472j -0.00252444-0.00043339j 0.00627668+0.00123846j 0.00492767+0.000494853j -0.00113122+0.000897491j 0.00778619+0.000318248j 0.0023199+0.000761234j 0.0100177+0.000736521j -0.0238646-0.00051427j 0.000910297+0.000908056j 1.4659e-05+0.00100309j 0.0130444-2.80482e-05j -0.0082116-0.000781536j 0.00626138+4.23532e-06j 0.00474694+0.000618692j 0.00783672+0.00147182j -0.924472+0.00489725j 0.0016319+4.19129e-05j -0.0136039-0.00264022j 0.00665035-0.00135877j 0.0168399+0.000861158j 0.0151149+0.00137681j -0.00728792+0.00048629j 0.0132708+0.00218605j -0.00676443-0.0014794j 0.00192212+0.000329285j 
-0.00259201+0.000247342j 0.00393337-8.73201e-05j -0.00274676+0.000273222j -0.00294998+0.000202001j 0.00189296-0.000378672j 0.000142893+0.000231872j 0.00187286-0.000230257j 0.00380797-0.000666308j -0.00181244+3.44731e-05j -0.00418162-4.36361e-05j 0.000919286-1.84531e-16j -0.00154789-0.00037166j 0.00218055+0.000704403j -0.000594866+0.000382121j -0.000975912-0.000363515j -0.00335387+0.00035474j 0.000636341+0.000328835j 7.37058e-05+0.000606715j -0.00141595-1.07001e-05j -0.00660262+3.63227e-05j -0.00602228+0.000572671j -0.000265469+0.000315252j 0.00635691+0.00134437j 6.49043e-05-0.000548345j -0.00173811-0.000573377j -0.000399441+0.0047072j 0.000592879-0.000992615j 0.0045706+0.000565553j -0.00142045-0.00033285j 0.00234264-0.00127377j 0.00401571+1.09575e-05j -0.011058+0.00108297j 0.0123206-1.00933e-05j -0.00715637-0.000673883j -0.00447175-0.000170553j 0.0104119+0.000127353j -0.00570697-0.00137798j -0.000467745-0.00231998j 0.0086233-0.00015951j 0.00197674-0.000392102j 0.0085805+0.00108125j -0.933082+0.00386655j 0.00783672+0.00147182j 0.00934393+0.00154114j -0.00142363-0.00109932j -0.00724383-0.000475785j 0.0152953-0.000776915j 0.00747182+0.00176747j 0.000495425-0.00194901j -0.000516314-0.000463254j 0.00197831+0.000265428j 0.00458723+0.000369063j 
