0.989713-0j -0.00148474-0j 0.143429-0j -0.00843285-0j -0.000124228-0j -0.000864146-0j 0.0103929-0j -0.000855283-0j 0.0102863-0j -6.36504e-06-0j -0.0051317-0j 0.101308-0j -0.00518488-0j 0.102358-0j -6.29976e-06-0j 0.0584227-0j -0.000743685-0j 0.0146816-0j -8.76442e-05-0j 0.000860648-0j 0.00856426-0j -5.11258e-05-0j -0.00460845-0j 0.000502045-0j 0.0340799-0j -0.000433816-0j -4.08288e-07-0j 0.0472127-0j -0.000600989-0j 0.0118645-0j -7.08272e-05-0j 0.000695509-0j -0.00372419-0j -0.00268826-0j -2.38168e-07-0j -3.29947e-07-0j 
0.00148474-0j 0.958809-0j -0.0205712-0j 0.00121718-0j 0.24583-0j -0.0119247-0j 0.0697555-0j -0.0118024-0j 0.0690401-0j 0.0253677-0j 0.000740697-0j 7.55971e-05-0j 0.000748373-0j 7.63805e-05-0j 0.0251075-0j 8.76442e-05-0j -0.0102624-0j -0.0010474-0j 0.0565984-0j 0.0177013-0j -0.000610985-0j 0.0330157-0j 0.000665172-0j 0.0103257-0j 5.11258e-05-0j -0.00598641-0j 0.00272149-0j 7.08272e-05-0j -0.00829328-0j -0.00084643-0j 0.0457384-0j 0.0143048-0j 0.00053754-0j 0.000388017-0j 0.00158753-0j 0.00219929-0j 
0.143429-0j 0.0205712-0j -0.013995-0j -1.7395e-05-0j 3.68767e-05-0j -0.00575516-0j 0.139895-0j 0.00586303-0j -0.142517-0j -0.000172251-0j -0.000743685-0j 0.0146816-0j 0.000730002-0j -0.0144114-0j 0.00017548-0j 0.000120512-0j 7.25644e-05-0j -0.00143254-0j 1.72844e-05-0j -0.000255481-0j 0.11491-0j -0.00138646-0j -9.50615e-06-0j 0.0204933-0j -0.00966682-0j -0.00582071-0j 2.0256e-07-0j 0.00684206-0j 0.00411982-0j -0.0813322-0j 0.000981316-0j -0.0145049-0j -0.000539709-0j 0.00076253-0j -1.62483e-05-0j 1.15003e-05-0j 
0.00843285-0j 0.00121718-0j 1.7395e-05-0j -0.014341-0j 1.44958e-06-0j 0.100306-0j -8.60315e-05-0j -0.102186-0j 8.76442e-05-0j -5.06946e-06-0j 0.00420692-0j 0.000429367-0j -0.00412951-0j -0.000421467-0j 5.16448e-06-0j -0.00103264-0j 8.67789e-06-0j 8.85683e-07-0j -0.000149048-0j 1.04379e-07-0j -7.10445e-05-0j 0.0119558-0j 5.37749e-05-0j -8.37268e-06-0j 0.0828323-0j -0.000696091-0j 4.76422e-09-0j -0.0586277-0j 0.000492685-0j 5.02844e-05-0j -0.00846217-0j 5.92608e-06-0j 0.00305306-0j -0.00431352-0j -3.82159e-07-0j 2.70487e-07-0j 
0.000124228-0j 0.24583-0j -3.68767e-05-0j 1.44958e-06-0j -0.0135518-0j 0.00145907-0j -0.0173756-0j -0.00148642-0j 0.0177013-0j 0.195759-0j 6.19738e-05-0j 6.32517e-06-0j -6.08335e-05-0j -6.20879e-06-0j -0.199428-0j 1.04379e-07-0j -1.83968e-05-0j -1.87761e-06-0j 0.000206552-0j -0.000975813-0j 0.000150611-0j -0.0165684-0j 7.92179e-07-0j 0.0782742-0j -8.37268e-06-0j 0.00147569-0j -0.000464792-0j 5.92608e-06-0j -0.00104447-0j -0.000106601-0j 0.0117269-0j -0.0554015-0j 4.49758e-05-0j -6.35441e-05-0j 0.037283-0j -0.0263884-0j 
0.000864146-0j -0.0119247-0j 0.00575516-0j 0.100306-0j 0.00145907-0j -0.500254-0j 0.000867198-0j 0.495324-0j -0.000858652-0j 0.000102735-0j 0.000431099-0j 4.39989e-05-0j -0.00043539-0j -4.44368e-05-0j -0.000101722-0j 0.00722264-0j 0.00287109-0j 0.00029303-0j -0.0996681-0j 0.000105062-0j -0.00016113-0j 0.0548053-0j -0.000376122-0j -5.77711e-05-0j -0.00397157-0j -0.00157875-0j 8.01453e-06-0j -0.0060078-0j -0.00238818-0j -0.000243742-0j 0.0829041-0j -8.73905e-05-0j 0.000312858-0j 0.000206821-0j -4.40701e-06-0j -6.6665e-06-0j 
0.0103929-0j -0.0697555-0j 0.139895-0j 8.60315e-05-0j 0.0173756-0j -0.000867198-0j -0.488076-0j 0.000858652-0j 0.483266-0j 0.00184481-0j -5.38874e-05-0j 0.00106383-0j 5.44238e-05-0j -0.00107442-0j -0.00182663-0j -0.000596026-0j -0.00072536-0j 0.0143198-0j 0.00400044-0j -0.120378-0j -0.00787414-0j -0.00219976-0j 4.70152e-05-0j 0.0661931-0j 0.000327741-0j 0.000398859-0j 0.000192358-0j 0.000495775-0j 0.000603355-0j -0.0119112-0j -0.00332758-0j 0.10013-0j -3.91073e-05-0j -2.58526e-05-0j -0.000105773-0j -0.000160004-0j 
-0.000855283-0j 0.0118024-0j 0.00586303-0j 0.102186-0j 0.00148642-0j -0.495324-0j 0.000858652-0j 0.48238-0j -0.000836212-0j 0.000101722-0j 0.000419833-0j 4.2849e-05-0j -0.000431099-0j -4.39989e-05-0j -9.9064e-05-0j -0.00723999-0j -0.00287799-0j -0.000293734-0j 0.0999076-0j -0.000105314-0j 0.000174138-0j -0.0592296-0j 0.000377025-0j 6.24348e-05-0j 0.00429218-0j 0.0017062-0j -8.03379e-06-0j 0.00594618-0j 0.00236368-0j 0.000241242-0j -0.0820538-0j 8.64942e-05-0j -0.00030965-0j -0.000223517-0j 4.76278e-06-0j 6.59812e-06-0j 
-0.0102863-0j 0.0690401-0j 0.142517-0j 8.76442e-05-0j 0.0177013-0j -0.000858652-0j -0.483266-0j 0.000836212-0j 0.470637-0j 0.00182663-0j -5.24792e-05-0j 0.00103603-0j 5.38874e-05-0j -0.00106383-0j -0.0017789-0j 0.000597458-0j 0.000727103-0j -0.0143542-0j -0.00401006-0j 0.120667-0j 0.0085098-0j 0.00237733-0j -4.71282e-05-0j -0.0715366-0j -0.000354199-0j -0.000431058-0j -0.00019282-0j -0.00049069-0j -0.000597167-0j 0.0117891-0j 0.00329345-0j -0.0991034-0j 3.87062e-05-0j 2.79396e-05-0j 0.000114312-0j 0.000158363-0j 
6.36504e-06-0j 0.0253677-0j 0.000172251-0j -5.06946e-06-0j 0.195759-0j 0.000102735-0j -0.00184481-0j -0.000101722-0j 0.00182663-0j -0.472401-0j 3.17535e-06-0j 3.24082e-07-0j -3.20695e-06-0j -3.27308e-07-0j 0.467745-0j -3.65032e-07-0j 8.59316e-05-0j 8.77035e-06-0j -0.00145483-0j 0.0140958-0j -4.82262e-06-0j 0.000799977-0j -2.7704e-06-0j -0.00775099-0j 2.00723e-07-0j -4.72519e-05-0j -0.15376-0j 3.03634e-07-0j -7.1478e-05-0j -7.29519e-06-0j 0.00121013-0j -0.0117249-0j 2.30442e-06-0j 1.52338e-06-0j 0.0845492-0j 0.127898-0j 
0.0051317-0j 0.000740697-0j 0.000743685-0j 0.00420692-0j 6.19738e-05-0j 0.000431099-0j 5.38874e-05-0j -0.000419833-0j -5.24792e-05-0j 3.17535e-06-0j 0.493438-0j -0.000257094-0j -0.506679-0j 0.000263993-0j -3.09236e-06-0j -0.000298065-0j 0.071509-0j -3.72581e-05-0j -4.30219e-05-0j -4.39091e-06-0j 2.20882e-05-0j 2.55053e-05-0j -0.00226215-0j 2.60312e-06-0j 0.000176706-0j -0.0423936-0j -2.00417e-07-0j 0.000244799-0j -0.0587301-0j 3.05999e-05-0j 3.53338e-05-0j 3.60624e-06-0j 0.0018579-0j 0.0013411-0j 1.18816e-07-0j 1.64601e-07-0j 
0.101308-0j -7.55971e-05-0j 0.0146816-0j -0.000429367-0j -6.32517e-06-0j -4.39989e-05-0j 0.00106383-0j 4.2849e-05-0j -0.00103603-0j -3.24082e-07-0j 0.000257094-0j 0.48578-0j -0.000263993-0j -0.498816-0j 3.15613e-07-0j -0.00588429-0j 3.72581e-05-0j 0.0703992-0j 4.39091e-06-0j -8.66838e-05-0j -0.0417357-0j -2.60312e-06-0j 0.00023088-0j 5.13899e-05-0j 0.00348846-0j -2.20882e-05-0j 2.04549e-08-0j 0.00483275-0j -3.05999e-05-0j -0.0578186-0j -3.60624e-06-0j 7.11931e-05-0j -0.000189621-0j -0.000136876-0j -1.21266e-08-0j -1.67996e-08-0j 
-0.00518488-0j -0.000748373-0j 0.000730002-0j 0.00412951-0j 6.08335e-05-0j 0.00043539-0j 5.44238e-05-0j -0.000431099-0j -5.38874e-05-0j 3.20695e-06-0j 0.506679-0j -0.000263993-0j -0.511723-0j 0.000266621-0j -3.17535e-06-0j 0.00029735-0j -0.0713376-0j 3.71688e-05-0j 4.29188e-05-0j 4.38038e-06-0j -2.04383e-05-0j -2.36001e-05-0j 0.00225673-0j -2.40867e-06-0j -0.000163506-0j 0.039227-0j 1.99936e-07-0j -0.000247336-0j 0.0593387-0j -3.0917e-05-0j -3.56999e-05-0j -3.64361e-06-0j -0.00187715-0j -0.00124093-0j -1.0994e-07-0j -1.66307e-07-0j 
-0.102358-0j 7.63805e-05-0j 0.0144114-0j -0.000421467-0j -6.20879e-06-0j -4.44368e-05-0j 0.00107442-0j 4.39989e-05-0j -0.00106383-0j -3.27308e-07-0j 0.000263993-0j 0.498816-0j -0.000266621-0j -0.503781-0j 3.24082e-07-0j 0.00587019-0j -3.71688e-05-0j -0.0702305-0j -4.38038e-06-0j 8.6476e-05-0j 0.0386182-0j 2.40867e-06-0j -0.000230326-0j -4.75512e-05-0j -0.00322788-0j 2.04383e-05-0j -2.04059e-08-0j -0.00488283-0j 3.0917e-05-0j 0.0584178-0j 3.64361e-06-0j -7.19309e-05-0j 0.000191586-0j 0.000126651-0j 1.12208e-08-0j 1.69737e-08-0j 
-6.29976e-06-0j -0.0251075-0j 0.00017548-0j -5.16448e-06-0j 0.199428-0j 0.000101722-0j -0.00182663-0j -9.9064e-05-0j 0.0017789-0j -0.467745-0j 3.09236e-06-0j 3.15613e-07-0j -3.17535e-06-0j -3.24082e-07-0j 0.455521-0j 3.65909e-07-0j -8.6138e-05-0j -8.79143e-06-0j 0.00145832-0j -0.0141297-0j 5.21194e-06-0j -0.000864556-0j 2.77705e-06-0j 0.0083767-0j -2.16927e-07-0j 5.10664e-05-0j 0.154129-0j -3.0052e-07-0j 7.07449e-05-0j 7.22037e-06-0j -0.00119772-0j 0.0116047-0j -2.28078e-06-0j -1.64636e-06-0j -0.0913746-0j -0.126586-0j 
-0.0584227-0j 8.76442e-05-0j -0.000120512-0j -0.00103264-0j 1.04379e-07-0j 0.00722264-0j 0.000596026-0j 0.00723999-0j 0.000597458-0j -3.65032e-07-0j -0.000298065-0j 0.00588429-0j -0.00029735-0j 0.00587019-0j -3.65909e-07-0j -0.00703934-0j -6.14837e-07-0j 1.21379e-05-0j 1.05602e-05-0j 7.11536e-07-0j 0.000989507-0j 0.000860891-0j -3.81001e-06-0j 5.80058e-05-0j -0.573861-0j -5.01228e-05-0j -3.3755e-10-0j 0.406172-0j 3.54763e-05-0j -0.000700361-0j -0.000609328-0j -4.10558e-05-0j 0.000219839-0j -0.0003106-0j -2.75178e-08-0j 1.94767e-08-0j 
0.000743685-0j -0.0102624-0j -7.25644e-05-0j 8.67789e-06-0j -1.83968e-05-0j 0.00287109-0j 0.00072536-0j 0.00287799-0j 0.000727103-0j 8.59316e-05-0j 0.071509-0j -3.72581e-05-0j 0.0713376-0j -3.71688e-05-0j 8.6138e-05-0j -6.14837e-07-0j -0.00697743-0j 3.63542e-06-0j 8.48439e-06-0j 1.30343e-06-0j 0.000296367-0j 0.000691665-0j -4.66629e-06-0j 0.000106258-0j -5.01228e-05-0j -0.568814-0j 9.94309e-08-0j 3.54763e-05-0j 0.4026-0j -0.000209765-0j -0.000489552-0j -7.52084e-05-0j 0.000269246-0j -0.000380405-0j 8.10581e-06-0j -5.7372e-06-0j 
0.0146816-0j 0.0010474-0j -0.00143254-0j -8.85683e-07-0j 1.87761e-06-0j -0.00029303-0j 0.0143198-0j -0.000293734-0j 0.0143542-0j -8.77035e-06-0j 3.72581e-05-0j 0.0703992-0j 3.71688e-05-0j 0.0702305-0j -8.79143e-06-0j -1.21379e-05-0j -3.63542e-06-0j -0.00686914-0j -8.65934e-07-0j 2.57319e-05-0j -0.559986-0j -7.05928e-05-0j 4.76251e-07-0j 0.00209772-0j -0.000989507-0j -0.000296367-0j -1.01481e-08-0j 0.000700361-0j 0.000209765-0j 0.396351-0j 4.99647e-05-0j -0.00148474-0j -2.74798e-05-0j 3.8825e-05-0j -8.27296e-07-0j 5.8555e-07-0j 
-8.76442e-05-0j -0.0565984-0j 1.72844e-05-0j 0.000149048-0j -0.000206552-0j 0.0996681-0j 0.00400044-0j 0.0999076-0j 0.00401006-0j 0.00145483-0j 4.30219e-05-0j 4.39091e-06-0j 4.29188e-05-0j 4.38038e-06-0j 0.00145832-0j -1.05602e-05-0j -8.48439e-06-0j -8.65934e-07-0j -0.00681953-0j 1.46344e-05-0j -7.05928e-05-0j -0.555942-0j 5.49927e-07-0j 0.00119303-0j -0.000860891-0j -0.000691665-0j 2.24997e-06-0j 0.000609328-0j 0.000489552-0j 4.99647e-05-0j 0.393489-0j -0.00084441-0j -3.1731e-05-0j 4.48312e-05-0j 0.000183423-0j -0.000129824-0j 
-0.000860648-0j 0.0177013-0j 0.000255481-0j 1.04379e-07-0j -0.000975813-0j 0.000105062-0j 0.120378-0j 0.000105314-0j 0.120667-0j 0.0140958-0j -4.39091e-06-0j 8.66838e-05-0j -4.38038e-06-0j 8.6476e-05-0j 0.0141297-0j 7.11536e-07-0j 1.30343e-06-0j -2.57319e-05-0j -1.46344e-05-0j -0.00665198-0j -0.00209772-0j -0.00119303-0j -5.61267e-08-0j -0.542283-0j 5.80058e-05-0j 0.000106258-0j 3.2931e-05-0j -4.10558e-05-0j -7.52084e-05-0j 0.00148474-0j 0.00084441-0j 0.383822-0j 3.23853e-06-0j -4.57557e-06-0j 0.0026846-0j -0.00190013-0j 
