0.072601-2.77556e-17j -0.175464+0.00288049j 0.103487+0.07741j 0.03789+0.0170923j 0.0303213-0.103217j -0.0475539-0.107971j 0.000121648+0.0796907j 0.0138262-0.15644j -0.025655+0.0544971j 0.0552191+0.0103238j -0.00484328-9.75424e-05j -0.0224469+0.0487595j 0.0453258+0.00147528j -0.0426754+0.0467555j -0.0231871-0.0881933j 0.0549805+0.201309j 0.169252+0.130738j 0.173225+0.100988j 0.257482-0.293514j 0.0989946-0.0367603j -0.0525834-0.0310293j -0.155951-0.215433j 
-0.175464-0.00288049j -0.0736817-5.55112e-17j 0.0172085+0.00334693j -0.165246-0.133237j -0.0566085-0.0100371j -0.0462201-0.0261311j -0.0653599-0.0388029j 0.00378364+0.0701926j 0.0624861-0.0368076j 0.0226494+0.0241651j 0.0281178+0.0498483j -0.0685714+0.0452845j 0.0457945+0.027187j -0.154235+0.145821j 0.149078-0.0386775j -0.24033-4.89562e-05j -0.0306243+0.0307611j -0.058392+0.3372j 0.173511+0.0762442j -0.0932103+0.156437j -0.187215-0.219524j 0.055854+0.053285j 
0.103487-0.07741j 0.0172085-0.00334693j 0.0238743-6.66134e-16j 0.0516228+0.0357711j -0.00367024-0.0469864j -0.00519111-0.0288691j 0.0717265+0.0772756j -0.0479677-0.0258508j -0.042139-0.0103169j 0.0164098-0.0501677j -0.119341+0.124367j 0.0151715+0.0421241j -0.0405564-0.0267218j -0.0616315+0.111892j -0.0789997+0.058728j 0.170386-0.0250252j -0.215926+0.366203j 0.224021-0.0168121j -0.173987+0.0919482j -0.209102+0.30103j -0.034574-0.153317j -0.220197+0.176778j 
0.03789-0.0170923j -0.165246+0.133237j 0.0516228-0.0357711j -0.0496366+5.13478e-16j 0.157734+0.0609347j 0.00792751+0.0805102j 0.0206508+0.0156481j 0.153524-0.0155435j -0.172834+0.0350393j 0.0111001+0.00928377j -0.0131115+0.073018j -0.0852961+0.172304j 0.0555235+0.0355043j 0.130493-0.225214j -0.0470809+0.0965304j -0.0553503+0.0535472j -0.254883-0.161653j 0.252724+0.0828651j -0.0997916+0.225013j -0.104782-0.0978037j -0.268142+0.114561j -0.0994328+0.228142j 
0.0303213+0.103217j -0.0566085+0.0100371j -0.00367024+0.0469864j 0.157734-0.0609347j 0.138897-4.3715e-16j -0.0121545+0.027513j -0.130496-0.118838j 0.0117056-0.0315279j 0.0688852+0.0246113j -0.00445375-0.0581625j -0.178385+0.00297175j 0.000478493-0.0389975j -0.0670731+0.101181j 0.256178+0.0926838j -0.127444-0.165775j -0.204413+0.102409j 0.0108814+0.0760162j 0.0326194-0.0786601j -0.370411-0.0525864j -0.0124005+0.159702j 0.0400495+0.299002j 0.152889-0.127185j 
-0.0475539+0.107971j -0.0462201+0.0261311j -0.00519111+0.0288691j 0.00792751-0.0805102j -0.0121545-0.027513j 5.6173e-05+5.68989e-16j -0.0132112-0.00550211j 0.095046+0.0270574j -0.0668824-0.0208079j 0.0670779-0.0693541j 0.0185383+0.030682j -0.0547191-0.225764j -0.0815332-0.150821j 0.158312+0.0499296j 0.0201457-0.0785394j -0.0206385-0.0708095j -0.205389+0.160023j -0.113451+0.0524591j -0.224915+0.0914707j -0.120148+0.341396j -0.0484096-0.165488j -0.132013-0.0795589j 
0.000121648-0.0796907j -0.0653599+0.0388029j 0.0717265-0.0772756j 0.0206508-0.0156481j -0.130496+0.118838j -0.0132112+0.00550211j -0.197253+5.71765e-15j 0.0802982+0.0142327j -0.0702737-0.00203393j -0.0399268+0.106886j 0.0216424+0.00956897j 0.0588618-0.120742j 0.0883297-0.0463404j 0.0311935+0.077489j 0.00220007+0.0301747j 0.128906+0.260904j -0.132366+0.131924j 0.200164-0.0159405j 0.113106+0.0513448j 0.12557-0.00259498j 0.15905-0.119268j -0.185266-0.194131j 
0.0138262+0.15644j 0.00378364-0.0701926j -0.0479677+0.0258508j 0.153524+0.0155435j 0.0117056+0.0315279j 0.095046-0.0270574j 0.0802982-0.0142327j 0.0164996+4.10783e-15j -0.189805+0.127235j -0.225669+0.192546j -0.0762857-0.195984j 0.0295379-0.0905065j 0.00062435+0.109242j -0.0329513+0.171491j 0.0202661+0.299086j 0.0207069-0.0525034j -0.0692164-0.153681j 0.18991+0.0523804j 0.00545647+0.184368j 0.058704-0.17212j -0.157225+0.0802997j 0.0735168+0.0403258j 
-0.025655-0.0544971j 0.0624861+0.0368076j -0.042139+0.0103169j -0.172834-0.0350393j 0.0688852-0.0246113j -0.0668824+0.0208079j -0.0702737+0.00203393j -0.189805-0.127235j 0.0394978+2.77556e-17j -0.145069-0.0888191j -0.0327552+0.123851j -0.0183029-0.0287721j 0.319769+0.0179078j -0.201128+0.210749j -0.108697+0.34729j -0.0137581+0.15231j 0.135582-0.0405735j -0.015911+0.0125715j -0.119184-0.0147589j -0.107508+0.200671j 0.0938817-0.0264057j 0.0539037+0.0495866j 
0.0552191-0.0103238j 0.0226494-0.0241651j 0.0164098+0.0501677j 0.0111001-0.00928377j -0.00445375+0.0581625j 0.0670779+0.0693541j -0.0399268-0.106886j -0.225669-0.192546j -0.145069+0.0888191j -0.066025-1.42247e-15j 0.0334241-0.160218j 0.0554668+0.119974j -0.213814-0.0447024j -0.269506-0.017294j -0.126969-0.205621j -0.113716-0.0246935j -0.00437618+0.173177j -0.0124313+0.181866j -0.0370044-0.0246749j 0.0992604+0.0382529j 0.0284378+0.0238174j -0.0290529-0.00978048j 
-0.00484328+9.75424e-05j 0.0281178-0.0498483j -0.119341-0.124367j -0.0131115-0.073018j -0.178385-0.00297175j 0.0185383-0.030682j 0.0216424-0.00956897j -0.0762857+0.195984j -0.0327552-0.123851j 0.0334241+0.160218j -0.1139-7.51899e-14j 0.331973+0.0808427j -0.0760342+0.156187j -0.0224415+0.137753j -0.102857-0.115185j 0.0269206-0.0474802j -0.0275133+0.117934j 0.187653-0.0780516j 0.00488242+0.136758j -0.0781738-0.0140968j 0.00849977-0.0151989j 0.0501937+0.0776205j 
