-0.0342664+3.46945e-18j 0.113921-0.0540382j -0.0513325-0.127388j 0.0771333-0.0144751j 0.0260853+0.0560913j -0.00339294+0.0452356j 0.0424852+0.0369835j 0.00650139-0.0670847j 0.00118506+0.0851874j 0.000156891-0.00517087j 0.0350699-0.0228341j -0.0014933+0.0163769j 0.0154762-0.0295376j 0.00671141-0.0322701j 0.0100307-0.0222207j 0.00984721-0.000531884j 0.039307-0.0100596j 0.0383705-0.0135818j -0.0152228+0.0583086j -0.0305943+0.000184613j 0.0359154-0.0394857j 0.0192433-0.0657124j -0.00925409+0.0304752j 0.00137604+0.0635797j 
0.113921+0.0540382j -0.340888-1.94289e-16j 0.0430595+0.40313j -0.227467-0.0376453j 0.0746699-0.0617126j -0.0464058+0.0531942j -0.13625+0.0128395j -0.00740457-0.0381009j -0.0122716-0.205755j -0.0100284+0.0808926j -0.102915-0.0376948j -0.00479961+0.0436171j 0.0777045+0.0696502j -0.0483948+0.0365438j 0.0129173-0.035628j -0.00470638+0.0527185j -0.00424878-0.0402021j -0.08857-0.0214696j -0.0494592+0.00550494j 0.0218809-0.0747934j -0.0230565+0.0936773j -0.0907817+0.102816j -0.111213-0.0344508j -0.0492563-0.293389j 
-0.0513325+0.127388j 0.0430595-0.40313j -0.455955-3.747e-15j -0.0809134-0.183441j 0.104757-0.13386j 0.0225423-0.0421739j 0.0569145+0.0449539j -0.00661401-0.0306483j 0.0370916-0.0381999j 0.103949-0.0305469j 0.0183805-0.0141144j -0.0395851-0.0493243j -0.0532789-0.00505252j -0.111058+0.0253151j 0.0174208+0.0251989j -0.0133128-0.0171477j 0.0303438-0.0190197j -0.0373111-0.0118673j -0.0117419+0.00937559j -0.00325392-0.000406261j -0.0297523+0.00755281j -0.0127074+0.0457486j 0.00377907+0.0578577j 0.0733735-0.0311308j 
0.0771333+0.0144751j -0.227467+0.0376453j -0.0809134+0.183441j -0.0899732+1.11022e-16j -0.139795-0.163696j -0.0248405+0.0600532j 0.11728+0.0500769j -0.018936+0.0774904j -0.0735447+0.322952j 0.0106191-0.0437723j 0.0233505+0.0935732j -0.0530675-0.0189081j -0.13249-0.129566j 0.0403507+0.0457978j -0.0516914-0.0250041j -0.0142362-0.0172416j -0.0149934+0.114254j 0.0771462+0.0980518j 0.0283952+0.0394859j -0.0211345+0.0822027j 0.132843-0.10382j 0.0631877+0.00444883j 0.193307-0.135023j 0.0346332+0.412046j 
0.0260853-0.0560913j 0.0746699+0.0617126j 0.104757+0.13386j -0.139795+0.163696j -0.101024+4.996e-16j 0.110813-0.128703j 0.302757+0.0106207j 0.10017-0.196878j 0.294253-0.00723269j 0.197208-0.0822233j -0.00332114-0.088897j -0.0529652+0.0757278j -0.0112462+0.0440079j -0.0664118+0.0117825j -0.0633655-0.0119337j -0.00393706+0.0637573j 0.0688303-0.048267j 0.0291687+0.103936j 0.00231125+0.0691319j 0.145698-0.0110169j -0.229136+0.0425696j 0.133148-0.0733185j 0.116519+0.210381j 0.167469+0.0373938j 
-0.00339294-0.0452356j -0.0464058-0.0531942j 0.0225423+0.0421739j -0.0248405-0.0600532j 0.110813+0.128703j -0.297458-5.55112e-17j 0.105985+0.16319j 0.238126-0.480919j -0.158773+0.208744j -0.0584153+0.064998j -0.0548909-0.0479215j 0.148454+0.135704j 0.0460402-0.00198834j 0.0134136+0.0318232j 0.0544012+0.0017293j -0.048904+0.109942j -0.0242603-0.10263j 0.0733818-0.00976473j -0.0344089+0.0318184j -0.123749+0.0287252j -0.0310208-0.11715j 0.0272186-0.187848j -0.0389065+0.0782313j -0.0553479-0.0235454j 
0.0424852-0.0369835j -0.13625-0.0128395j 0.0569145-0.0449539j 0.11728-0.0500769j 0.302757-0.0106207j 0.105985-0.16319j 0.298808-7.80799e-15j -0.270075-0.106762j -0.00736267+0.0732274j -0.178228-0.00567087j -0.25913+0.0986633j 0.134053+0.0143998j -0.0930627+0.0598379j 0.0115046-0.0233885j -0.130677+0.00946549j 0.0770521+0.00495762j -0.200379-0.0174101j 0.0175158+0.0667094j -0.0034196+0.0122438j 0.0405693-0.0836391j -0.114434-0.0966792j 0.0112828-0.0198458j 0.0957631+0.00493562j -0.0246651-0.00583151j 
0.00650139+0.0670847j -0.00740457+0.0381009j -0.00661401+0.0306483j -0.018936-0.0774904j 0.10017+0.196878j 0.238126+0.480919j -0.270075+0.106762j -0.194122-8.32667e-16j 0.2922+0.0407914j 0.0778985+0.195903j -0.0873187-0.146627j -0.0703147-0.0100731j 0.0214199-0.112846j -0.00605148+0.100051j 0.0133129-0.00985613j 0.0257371+0.00105152j 0.0365822-0.0279772j 0.0414818+0.0151918j 0.014581+0.0180391j -0.0433605+0.056006j -0.00710724-0.0558607j -0.0462416-0.00352929j -0.0481571+0.0237988j -0.0105362+0.031193j 
0.00118506-0.0851874j -0.0122716+0.205755j 0.0370916+0.0381999j -0.0735447-0.322952j 0.294253+0.00723269j -0.158773-0.208744j -0.00736267-0.0732274j 0.2922-0.0407914j 0.271146+1.11022e-16j 0.163412+0.340898j -0.0430708+0.289632j 0.101458+0.0337146j -0.0242743-0.0406803j 0.0167725+0.00628214j 0.0104467-0.00204865j -0.0609869+0.0207414j -0.00845187+0.0780558j 0.0199466+0.0175664j -0.0206066+0.0152996j -0.00941261-0.0121243j -0.0473127+0.0141958j -0.00463724+0.028525j 0.0131622-0.0217167j -0.0286361+0.0547706j 
0.000156891+0.00517087j -0.0100284-0.0808926j 0.103949+0.0305469j 0.0106191+0.0437723j 0.197208+0.0822233j -0.0584153-0.064998j -0.178228+0.00567087j 0.0778985-0.195903j 0.163412-0.340898j -0.0068075+7.21645e-16j -0.0745165-0.158135j 0.0283919+0.111716j -0.0594686+0.0618889j 0.0241304-0.0222398j 7.79096e-05+0.0156689j 0.0133054+0.0593328j -0.00114572+0.0931351j 0.0524312-0.012562j 0.00574214+0.0530098j -0.00874723+0.075998j 0.167206+0.0416865j -0.0580825+0.172444j 0.157901-0.200908j -0.104672+0.351762j 
0.0350699+0.0228341j -0.102915+0.0376948j 0.0183805+0.0141144j 0.0233505-0.0935732j -0.00332114+0.088897j -0.0548909+0.0479215j -0.25913-0.0986633j -0.0873187+0.146627j -0.0430708-0.289632j -0.0745165+0.158135j -0.115504-2.77556e-17j 0.00469416-0.0365304j 0.235581+0.0888475j -0.0806161+0.0805936j 0.0441034+0.00967146j -0.00120036-0.0161564j 0.0654449-0.0802875j 0.112195+0.0944265j 0.007749+0.0805284j 0.0137442+0.0675177j -0.124307-0.173704j 0.269659-0.284522j 0.11379+0.288204j 0.0661476+0.243838j 
