-0.00638157+0.000941298j 0.00987758-0.0107328j 0.0117873-0.0116963j 0.0117847-0.00497456j -0.00629984+0.0122946j -0.0151752+0.0126996j 0.0198434+0.000832556j 0.00888608-0.010981j -0.0091399-0.00270386j 0.0164649-0.0169233j -0.0210856-0.011013j -0.0117897+0.00103593j -0.0241682-0.00256899j 0.0186569-0.0215308j -0.00747019+0.000435113j -0.00592169+0.0220704j 0.00713678-0.00836622j -0.0241173+0.0136512j 0.0111488+0.00752913j -0.00298871+0.00180988j -0.01553+0.0124428j -0.0159818+0.0201203j 0.00745997+0.00422271j -0.00493194-0.00632622j 0.00552809-0.0168433j -0.00224696-0.00533686j 0.0174251-0.00550111j 0.00600334-0.00380027j -0.00365713+0.0136511j 0.00714279+0.0039233j 0.014708+0.000640884j -0.00255783-0.00452289j -0.00188763-0.0103074j -0.00710619+0.00324707j -0.000896637+0.0127928j 8.96948e-05-0.0138863j -0.0128365+0.0178169j -0.00227118-0.0031128j -0.014514-0.000212916j -0.000645875-0.00269531j 0.0216792-0.00585993j 0.00864463-0.0191032j -0.0275705-0.00591687j -0.0105012-0.0162262j -0.0149795-0.00150948j 0.0274776-0.0113803j 0.0139588-0.00317987j -0.0356776+0.000153938j -0.00807842+0.00258958j -0.0139645+0.0274544j 0.0071588+0.0214873j 0.00853249+0.0216148j 0.0167129+0.0254994j 0.0413995-0.024097j 0.0284632+0.000418798j 0.101219-0.083393j -0.107611-0.0870084j -0.168007+0.00523196j 0.0678135-0.147734j -0.122398-0.0597176j -0.103172+0.0506806j -0.0121953+0.0169801j 0.0150741+0.0342064j 0.029731-0.021322j 0.0325517-0.00770059j -0.00859941-0.0371451j -0.0477038+0.00153799j -0.0156479-0.110131j -0.32454+0.0429567j 
0.018444+0.00360117j 0.0194578+0.0168728j 0.019984-0.00778693j 0.0581592-0.0248099j 0.0306308-0.050592j -0.0520235+0.0142043j -0.0322528+0.0766901j -0.113211-0.0333671j 0.100935+0.0277505j 0.086753+0.0442268j -0.130441-0.0263508j -0.0182951-0.00773019j 0.0518789+0.0256893j -0.0182424+0.0430451j 0.0727135-0.125378j -0.0112385+0.0764915j 0.0183345-0.05809j -0.0245113+0.0842027j 0.0896844+0.0835407j 0.014119+0.0731667j -0.00836858-0.0249557j 0.111258-0.0413097j 0.0777262+0.00681807j 0.0894556+0.00385315j -0.0230849-0.00500522j 0.0310119-0.0665703j 0.0220871-0.118351j 0.0062437+0.0552835j -0.0963622-0.0625266j 0.0867113-0.0372116j -0.0425973-0.0616678j 0.0348825+0.0334354j -0.00013957-0.0228734j -0.020493-0.0567294j -0.00526418+0.0269738j 0.0269106-0.02551j 0.0430827-0.0128899j 0.0206098-0.00550696j 0.0185251-0.0131032j 0.000112978-0.0145156j -0.00780317-0.00500767j 0.000146573+0.00590712j -0.00506192+0.0279136j 0.0322049+0.00439872j 0.00656036+0.0692827j -0.00335316+0.0200533j 0.00323907-0.00434471j 0.0200151+0.00410173j 0.00973896+0.021138j -0.0155459-0.0240633j 0.00931667+8.96261e-05j 0.0192788+0.0281499j -0.0133173+0.00374841j -0.00659659-0.0265253j 0.00917511+0.01031j -0.0432522-0.0190554j 0.00603244+0.00964931j -0.00191715+0.00924846j 0.0111499+0.0108889j -0.0318538-0.0244693j 0.0169824+0.0210214j -0.00480703+0.000531393j -0.0228302-0.0164202j -0.000901008-0.0206448j 0.0120528+0.000303019j 0.00473548+0.0101105j 0.014151-0.00525249j 0.00293468-0.000954609j 0.00203366-0.00122399j 
-0.0107165-0.0929944j -0.052302-0.0320586j -0.0552061-0.0392159j -0.0938047+0.0568524j 0.0409933+0.00655619j 0.0263774+0.0409965j -0.0675392+0.000864205j -0.0135879-0.0271657j 0.138725+0.0501417j 0.122738-0.0349807j 0.288604+0.105919j 0.00384815+0.114268j -0.144373+0.057678j 0.163546+0.063664j -0.027142+0.0733687j -0.0696797-0.0353889j 0.0455354+0.0312642j -0.0495919+0.0138817j 0.0201682-0.0714226j -0.0540491+0.034498j -0.0307685+0.0120954j 0.0266949-0.0794022j -0.0186123+0.0359082j 0.00262433+0.0320257j -0.0178485+0.00123675j 0.0134841-0.0536066j 0.0172716-0.0451345j 0.0398191+0.040089j -0.025377+0.00083934j 0.00163801-0.035962j -0.0126483-0.0241011j -0.000178808+0.0110254j 0.0295164+0.0137625j 0.0185135-0.0107985j -0.033922+0.017961j 0.0283703-0.00755906j 0.00542985-0.0326307j -0.00900057-0.0159421j -0.0152265+0.00197773j 0.00821713-0.015253j 0.0352314+0.0133488j 0.000231162+0.0256194j 0.00441167+0.0111278j -0.00671266+0.0114794j -0.0281134+0.00507129j -0.00393313+0.0164086j 0.0131573-0.00369145j -0.0248272-0.0221172j -0.022625-0.00277062j 0.00319288+0.000605066j -0.0171347-0.00987781j -0.0108288-0.00914336j -0.0114311+0.00455688j 0.0238521-0.00842782j -0.0019679+0.0010456j 0.0197004+0.015624j -0.0139145+0.0268654j 0.00350587-0.00221093j 0.00654041-0.0050405j 0.0126566-0.00768608j 0.00264152+0.0330318j 0.00837348-0.0112264j -0.00371574+0.00569364j -0.0195478-0.0219716j -0.0105891+0.0117969j -0.00359516-0.00137687j -0.0122643-0.0108588j -0.0199772-0.0137043j 0.00685105-0.0139587j 
0.0626037+0.0198724j -0.00575848-0.0988199j 0.0872762-0.0178291j -0.0595946-0.0395868j -0.0483474+0.00319765j -0.0202815+0.0129464j -0.0432958-0.0696818j -0.0176857+0.00694632j -0.135822-0.00492382j 0.242115+0.0823829j -0.062521+0.11816j -0.245265-0.0404935j -0.182112-0.115693j -0.105363+0.040036j -0.0270047-0.0516608j 0.0534451-0.0483686j 0.0237285+0.045516j -0.0121244-0.0532313j -0.00505542-0.022973j -0.0143136+0.00514571j 0.0147654-0.0442896j 0.0566264+0.0139005j 0.0143054-0.0139808j -0.0204014-0.044558j -0.0245132-0.0150979j -0.049971-0.0133112j 0.0276939+0.0115925j 0.00726746+0.00117922j 0.0140532+0.0228149j 0.00353387-0.00853854j 0.00211897+0.0241272j 0.021357-0.0153385j -0.0149884-0.00317554j -0.0104502+0.00940695j 0.00303334+0.013469j -0.0180157-0.0338092j -0.00609382-0.0164158j 0.0163557+0.015607j -0.011219-0.0130976j 0.0115555-0.00335015j 0.00481473-0.00268875j -0.0107456+0.0063559j -0.0293922-0.0243666j 0.00466168-0.00314252j 0.0100038+0.0143449j 0.0126413+0.0183563j 0.0101373+0.00187879j 0.016471-0.0181614j 0.0166994-0.00306134j -0.0119721+0.00524059j -0.00705235-0.0112646j 0.0257834+0.0149098j 0.00457637+0.00660959j 0.00654623+0.00378519j 0.00455431+0.00338346j -0.0285828+0.0150456j -0.0186025-0.0167637j -0.00419464-0.00697784j 0.0266662+0.00894774j -0.00651989+0.0113453j -0.00860403+0.000219494j -0.00184927+0.00785502j -0.0235268-0.00411045j 0.0148267-0.0123864j -0.000585214-0.0181982j 0.0141693-0.00521277j 0.00410236-0.0141163j 0.00673568-0.0166288j 0.0179724+0.00906765j 
0.00018591+0.0144779j -0.0102844-0.018103j 0.0853389-0.0577288j 0.0228713+0.00238997j 0.0543727-0.170172j -0.0130519+0.00231905j -0.00330633+0.0525307j 0.102194+0.0706029j -0.0328352-0.0072059j -0.02901-0.0251239j -0.0469724+0.0684851j -0.0153297-0.0697024j 0.00350064-0.0439725j -0.0366194+0.00730223j 0.0723746-0.0996214j -0.0377413+0.0968608j 0.0148242-0.0267877j -0.0544892+0.0915324j 0.0338621-0.0645846j -0.154965+0.150454j 0.0164718+0.0183279j 0.0822768-0.152392j -0.0288324+0.0547341j -0.0548348-0.00325231j -0.0480042+0.0477892j 0.0792439+0.0468404j 0.0941664-0.0497575j 0.0393629-0.00619278j 0.0917731+0.0477453j 0.0316239-0.0208739j -0.00346874+0.0703653j 0.025336-0.091377j 0.0212255-0.0231438j 0.0765065-0.0124409j -0.0705676-0.0157893j 0.0414422+0.0453286j 0.0203179-0.0295798j 0.0141022-0.0807224j 0.00103855-0.0278494j 0.0309708-0.0274734j 0.000970334-0.0149272j -0.0234438+0.034036j 0.00403901+0.0508293j -0.0266728-0.00191882j -0.0249939-0.0167751j -0.0330597+0.00430151j 0.00443735+0.00902657j 0.00893801+0.0182744j -0.0070772-0.00127453j 0.0297391+0.0471436j -0.0145575-0.0490061j -0.03367-0.0159901j -0.00230251+0.0253946j 0.011442-0.0304792j -0.00283605-0.013184j 0.0182036+0.00915674j -0.015754+0.00369031j -0.00317989+0.00473868j -0.0231266-0.00699666j 0.00538012-0.0179505j -0.0281013+0.041212j 0.00798213-0.0108192j 0.022191-0.00892185j 0.0104175-0.0125287j 0.00664433+0.0274798j -0.00490587+0.0261637j 0.00298682-0.015825j 0.00134492-0.00888487j -0.00846643+0.00391443j 
-9.14535e-05+0.0265233j 0.0491038-0.00942081j -0.0467824-0.0944926j -0.0997487+0.136542j 0.0569044+0.0451643j -0.00241893-0.0418842j -0.0771906-0.0630962j -0.0409486+0.0164467j 0.00888357-0.0908644j -0.0492708-0.0251505j -0.0956829-0.0217871j 0.0238915+0.089776j 0.0849832+0.010235j -0.00123721-0.132469j -0.034766+0.185285j 0.00103115-0.102543j -0.0223574+0.133007j -0.00108097-0.0804793j 0.127515-0.165535j -0.0530761+0.100047j -0.0567426-0.00633937j 0.0802773-0.00963013j 0.0328007+0.0695175j -0.0299603+0.00356387j -0.000150945-0.0203666j 0.0375167-0.00530872j 0.0302512+0.0300835j -0.0386834+0.0126753j 0.00579563+0.0165028j 0.0605483-0.0371525j -0.025806-0.00621546j 0.0487763-0.0160081j -0.0174847+0.013847j 0.0167868-0.0218912j -0.0456612-0.0400694j -0.0152171-0.00906405j 0.0451189-0.0226974j 0.0517468-0.0381845j 0.0193979-0.00375116j 0.00779932-0.00532982j 0.00522326-0.00209921j -0.03764+0.013867j -0.0440542-0.00249176j 0.0187703+0.0108585j 0.00658829-0.0103806j -0.0242862+0.000864155j 0.00303187+0.00669844j 0.00993158+0.00648842j -0.00375767+0.00292341j -0.00676032+0.0159593j 0.0225936+0.00166563j 0.0123951+0.00571077j 0.0014912-0.00357376j -0.00575792-0.00168462j 0.0149722-0.0288568j -0.0085501-0.00403482j -0.00614813-0.00296355j -0.00879821+0.00190443j -0.00701791+0.00369891j 0.00641355-0.00983185j -0.0348757+0.0443867j -0.0170426-0.0226163j 0.0147924-0.0181721j 0.0238729-0.0158477j -0.00377354+0.0168885j -0.0151883+0.0172038j 0.0147155+0.00285273j 0.0109888-0.00742794j 0.00107893+0.00854496j 
0.0209976+0.00869442j 0.00759361-0.0172208j -0.139131+0.121185j 0.0734606+0.14775j -0.0104453-0.0310828j -0.0068341+0.0507532j 0.0841568+0.0447133j 0.0693905-0.0668581j -0.0404016-0.0222924j -0.0059783+0.0875574j -0.0781928-0.0840026j -0.0515495-0.0403122j -0.0142921-0.00681296j -0.0558674+0.00552605j -0.090411+0.192218j -0.0403247+0.138038j -0.00642751-0.0272709j -0.0357682+0.0849375j 0.0146649-0.110697j 0.0629935-0.14282j -0.0465159+0.165888j -0.0266737+0.00199702j -0.0658451+0.0647423j -0.0579661+0.089968j -0.0106366+0.0178053j 0.0167026-0.075615j -0.000825774-0.0330552j -0.0088076+0.0722081j 0.00256926+0.0362265j -0.0125071+0.00175947j 0.0132832+0.00509676j -0.0202115+0.0156517j -0.01668+0.0142152j 0.00182933-0.0209672j -0.00519641-0.00289423j -0.0255527-0.0220184j -0.00721378-0.043674j 0.000626877-0.0106766j -0.0245994+0.0368247j -0.0100276+0.0443661j 0.00383834-0.03439j 0.00672137+0.00343379j -0.0139796+0.0468318j 0.00241874-0.00631453j 0.00934414+0.0114581j 0.00373541+0.0308514j 0.00990603-0.0311538j 0.0127492+0.0112129j -0.00404004+0.0327644j 0.0109622-0.017715j -0.0234316+0.014916j 0.021462-0.0351063j 0.000394647+0.00555366j -0.00300958+0.00967756j -0.0113943-0.0110039j -0.0265203+0.00672595j -0.00512485+0.0173467j 0.00625407+0.000675787j 0.0151477-0.0123247j -0.0108376-0.0089603j 0.029646+0.0195649j -0.00844092+0.025629j -0.0252543+0.00315787j -0.0112253-0.0153582j 0.0078226+0.00456934j 0.011549+0.00972803j 0.00418767-0.0187367j -0.008504-0.00500869j 0.00687927-0.00927456j 
0.0304346-0.0384685j 0.000658485+0.00891706j -0.00242961+0.0518866j 0.075529-0.00255661j -0.0427974-0.044682j 0.176726-0.00754074j -0.170654-0.0670924j -0.00128218-0.0211009j -0.0198598+0.0821419j 0.00746209-0.0261715j 0.0154585-0.00487357j 0.000855306+0.0350935j 0.0162853+0.0123851j -0.0528661+0.0970158j -0.000741514-0.0108233j -0.0303681+0.0552541j 0.0872217+0.0310015j 0.0224055+0.0368169j -0.0650137+0.0525092j -0.0528263-0.00996836j -0.00499671+0.0120746j -0.0339232+0.0479859j 0.075192+0.157992j -0.072438+0.0512231j 0.172628+0.0111351j -0.0588104+0.0471752j 0.0138045+0.0384818j -0.00243865-0.0248996j 0.0270088+0.0308936j 0.078052+0.0299306j 0.0370828-0.0318797j 0.0392944+0.0253947j -0.0800364+0.00708737j 0.00312719-7.4547e-05j -0.00714038+0.0209309j 0.0163973+0.0373135j -0.0135741+0.0253361j -0.012534-0.00317235j 0.00748191+0.0336127j 0.0149197-0.0115066j -0.000584211+0.00138925j -0.0191622+0.00505057j -0.0473584-0.00644589j -0.00493096+0.0201745j -0.0267368-0.0350611j 0.000236764-0.0188041j -0.0196039-5.23521e-05j 0.00751012-0.00408276j 0.0116309+0.00034236j 0.00221587+0.0208127j 0.0107937+0.0133079j 0.000820244-0.0224638j 0.00611655+0.00271837j 0.0252493-0.0113454j -0.000596131+0.0107456j -0.0129329+0.00708447j -0.0102347+0.0103734j -0.0322677-0.0171351j 0.0243823-0.0366047j -0.00127371-0.00619696j -0.00609253-0.0136665j -0.00450952-0.00244083j -0.0130366+0.0343515j 0.0145258+0.014444j 0.0122439+0.0184183j 0.011881-0.00570576j 0.0104956+0.0046323j 0.00483802+0.00497196j -0.00180042-0.00442899j 
0.0095423-0.00138348j 0.0115863-0.0208989j -0.00691044+0.0905108j 0.0810259-0.0411899j 0.0218596+0.0214678j -0.185405-0.0898378j -0.116506+0.0370973j 0.0491179+0.0294379j -0.0759733+0.0301981j -0.0534953+0.0795517j 0.0634904+0.0415514j -0.0163725-0.0297423j 0.0124703-0.0597823j -0.0396707+0.0187432j 0.0216508+0.0489307j -0.0391175+0.0539856j 0.0869711-0.0757553j -0.0415266-0.0141267j -0.0254194+0.0651464j 0.0892192-0.0548326j -0.0423473+0.0262963j 0.072747+0.0775177j 0.13042-0.0640067j 0.00675111+0.0398116j -0.0370995-0.167757j 0.027732+0.0565089j 0.0598514+0.0577881j -0.0536142+0.0126469j 0.0203618+0.0432984j -0.0376166-0.0439845j -0.0377609-0.0292372j 0.0223542-0.00941705j 0.0256923+0.0625832j -0.0162122+0.039798j 0.00973654+0.02859j 0.0303863+0.0210405j 0.0263756+0.0294395j -0.0119419+0.0104459j 0.0173282+0.00191342j -0.0190896+0.00599996j 0.00866698+0.0229075j -0.00303297-0.00657721j 0.00234861+0.0319946j 0.00869131-0.00132449j -0.0220969-0.00225438j -0.0248532-0.0266801j 0.00822558+0.0205639j -0.00726377-0.0177625j -0.00223725-0.0204073j 0.0101071+0.00744347j 0.0309594+0.00124691j -0.000329306-0.0262946j -0.00586016-0.00913441j -0.0153616-0.000535279j 0.00960908-0.000758323j 0.013503+0.0213167j -0.010057+0.0082175j -0.00883314+0.015224j -0.0205234-0.0419176j -0.00520929+0.00367203j -0.0173108-0.0195842j -0.0146114+0.00622749j 0.0187391+0.0324918j 0.00150783+0.00162979j 0.00276457-0.00247838j -0.0112498-0.0154767j 0.00703273+0.00538986j -0.000621893+0.00776168j -0.010974-0.00295178j 
-0.0101138-0.0114234j 0.0200396-0.0369044j -0.0359447-0.0447901j -0.049653+0.0399884j -0.285548-0.0490759j -0.0340404-0.0398032j -0.00149508+0.00205924j 0.0372113-0.0326039j 0.0201081+0.0125362j -0.00505907+0.0156222j 0.00223167+0.0758344j -0.00943376-0.00108899j 0.00646574-0.036013j 0.0593266+0.023998j -0.109938+0.00410387j 0.102709+0.0154959j -0.0239512+0.0252704j 0.0914686+0.00768671j 0.0605925-0.0421718j 0.0743218+0.11235j 0.0109964+0.0192775j -0.0624977-0.036862j 0.123162+0.0321759j 0.00547758+0.0600299j 0.0487506-0.0449326j 0.0461959-0.0345119j -0.0112063-0.028242j -0.0383775-0.032028j 0.0488487-0.0233337j -0.011831-0.0650505j 0.0210634-0.0118677j -0.0104304-0.0318052j -0.0144147+0.0246914j 0.0118862-0.0436427j -0.00656631+0.0154582j 0.0445563-0.0119359j -0.00128769-0.0230138j -0.0379296-0.0232206j -0.00564371+0.00391066j -0.0325397-0.0244728j -0.00557681+0.000735231j 0.0275407+0.0299248j 0.0146048+0.0214457j 0.00747345+0.00873256j -0.0228564+0.00574013j -0.00775215+0.0137394j -0.00141492+0.000923459j -0.00280415-0.0130674j 0.00864189-0.00420381j 0.0592054-0.00416855j -0.0456348+0.00172474j -0.00503131+0.0138128j 0.0112542+0.000221388j -0.041852-0.0265961j 0.0109059+0.00277476j 0.00991512+0.0121476j 0.00659726+0.0129368j -0.00108016+0.0119656j -0.0186443-0.00260461j -0.00958568-0.00284908j 0.0108808+0.0296906j -0.0147994-0.013222j 0.0107312-0.00298189j -0.00182578-0.0295219j 0.0104726+0.00629469j -0.00345313+0.0105194j 0.00508709-0.010575j 0.000512026-0.00905292j -0.00284912-0.00127357j 
-0.100993+0.199076j 0.128697+0.0542327j 0.0779934+0.0170893j 0.0969197+0.0628445j -0.00911612-0.0351737j 0.0214102-0.0927575j -0.0157226-0.00492754j -0.00190241+0.0224691j 0.0604629-0.183814j 0.0100774+0.0752121j 0.0416378-0.203301j 0.0589676-0.181398j 0.0207745-0.0393436j 0.0580652-0.213058j 0.0908818+0.0082207j 0.0349024+0.0366731j -0.00778988+0.0400187j 0.0375094-0.0107189j -0.0294936-0.0382826j -0.0509956+0.0685181j 0.0638962+0.0141863j -0.017677+0.0349088j 0.0399147+0.0414123j 0.057007-0.0278074j 0.010008-0.0150787j -0.015933-0.0192085j -0.0109699+0.0322455j 0.0224576-0.0303936j 0.00600441+0.0216995j -0.00584942-0.0136453j -0.00914566+0.00444154j 0.0135796+0.00598263j 0.0174032-0.0239306j 0.00394884-0.0173302j -0.0281815+0.000949835j 0.0203246+0.010202j -0.0134437-0.00175543j -0.00811182-0.000866933j 0.0188191-0.0094751j 0.00764638-0.0021715j -0.00525492-0.00950923j 0.010544+0.000784112j 0.0147409-0.0296304j 0.00584952+0.00619862j -0.00671094+0.0103014j 0.00733498+0.000901126j -0.0158282+0.00788677j -0.00760323+0.0315809j 0.00863235+0.0260316j 0.00479384-0.00538862j 0.00246588-0.00654198j -0.0186568+0.0399607j -0.0011751+0.00377614j -0.00583899-0.0173864j -0.000566259+0.00746772j 0.0111853-0.0407303j 0.0177789-0.0093711j -0.00116488-0.00797829j -0.018637+0.034824j -0.00275095-0.0250062j 0.010961+0.00166691j -0.0021711-0.0216454j 0.0161354-0.0353498j -0.00541712+0.0183161j 0.00847005+0.0172367j -0.00596676+0.0220274j 0.00410635+0.0167959j 0.00542748+0.0140352j -0.0134699+0.0070945j 
-0.148134-0.076445j -0.116369+0.213154j -0.00164716-0.0468931j 0.0262635+0.0579212j -0.0426728+0.0460206j -0.0362261-0.0317063j -0.0243202+0.0980741j 0.000341587+0.0179224j -0.0187908-0.00103414j 0.0666435-0.231624j 0.0670021-0.19333j -0.0319878+0.163288j -0.0609154+0.25352j 0.00691415-0.0430942j 0.022139+0.0279364j -0.0234788+0.00260665j 0.044834-0.0658742j -0.0202383+0.0324185j -0.0433015+0.0464066j 0.00540632+0.0688576j 0.00146842-0.0133387j -0.00317134-0.0413263j 0.0210095-0.0177292j 0.00814236+0.0138037j 0.00455943-0.0161713j -0.0193854+0.0558287j 0.00705186-0.018516j 0.00573846-0.0339463j -0.00327376+0.00144492j -0.015563-0.00241913j 0.00119394-0.00897292j -0.00196284-0.00283528j 0.0109376-0.00599967j 0.00373852+0.0061381j 0.0186107+0.0148691j -0.00782241+0.0117131j -0.0119075+0.0161452j -0.0119177+0.0168442j -0.00252281+0.00861935j -0.00457518-0.0196218j 0.00737977-0.018441j 0.00870838+0.00721987j 0.00265657+0.0022385j -0.00326635+0.0189345j -0.0123056+0.0339079j 0.00671845-0.00838876j -0.00153888-0.00532375j -0.0158665+0.0122381j -0.0055657+0.00705224j 0.00463798+0.00697289j -0.00159334+0.0109112j -0.00197843+0.00354835j -0.000549021+0.00969622j 0.000270598-0.0377267j -0.00079823+0.00485396j 0.0148926-0.00250437j -0.00222081+0.0272678j 0.00314591-0.00228067j -0.00812736-0.030343j 0.00772635-0.0130685j 0.00952924+0.00229995j 0.000661003-0.0165044j 0.00774433+0.0280501j -0.0190839+0.0122581j -0.00803466+0.00939139j -0.0100126-0.0175221j -0.0108469+0.0155415j -0.0156779+0.0132861j -0.00509764-0.0189769j 
-0.0600608+0.0744738j 0.0830612+0.0724605j -0.0360531+0.119789j -0.251531-0.0339284j -0.0116978-0.0443517j 0.0208275+0.000648321j -0.0585681+0.047702j -0.0307303+0.026323j 0.0239213-0.0295726j -0.0289839+0.0199862j 0.0510079-0.137329j 0.00301818-0.102867j 0.000837119+0.0209993j 0.0229622-0.0245514j -0.139597-0.0599128j -0.0559926+0.119251j -0.0227945-0.0783777j -0.0276578+0.0764094j 0.0885434+0.102049j 0.0294146-0.0710633j -0.0999977+0.0275513j -0.000116545+0.0408522j -0.0747424+0.0260768j -0.0706756-0.00926299j 0.00737244-0.00619556j 0.0507914+0.0365555j -0.00780851+0.00279587j -0.0218458+0.00623225j -0.0195775+0.0414637j 0.0373731+0.0296526j 0.00544154+4.79087e-05j -0.0154802+0.020646j -0.0216179-0.011171j 0.0105477+0.0219355j 0.0181262-0.00345645j 0.0145659+0.000745523j 0.0296265+0.0261257j 0.0143993+0.0130643j -0.0217938+0.00118964j -0.010894+0.0179377j 0.0112718-0.00275113j -0.0213651-0.0201384j -0.00987863-0.00856068j -0.00612808+0.0107657j 0.0116745+0.00497763j -0.0166747-0.0156912j 0.0182881-0.000581673j 0.00375359+0.0182864j -0.02192+0.0131884j -0.000952453+0.0172119j 0.00663725-0.00550672j 0.00663505-0.00758806j 0.00765631+0.00929727j 0.00309885-0.00756208j 0.00999799+0.00230772j 0.00524476-0.0217602j -0.0209392-0.0019859j -0.012308-0.00370505j -0.00280667-0.0233336j 0.000835575-0.0130935j -0.0333858-0.0208478j -0.00227578+0.00376574j 0.0142355+0.0183949j 0.0167704+0.0312866j -0.00232883+0.00659979j -0.0110201-0.00496635j 0.0114439+0.0147339j 0.00694507+0.0189072j -0.00876444+0.00239622j 
0.0115585+0.0538232j 0.0442036-0.00522229j -0.303825-0.0733945j 0.0402127-0.0913583j -0.0504322-0.0105564j 0.0484587-0.0162131j 0.0299467+0.00905583j -0.00917723+0.0338111j -0.0188215-0.0320287j -0.0403312+0.00881231j 0.018602+0.00255579j 0.064682-0.0532342j 0.0235134-0.0277756j -0.0519097-0.0462357j 0.0462692-0.129922j -0.101926-0.053792j 0.0737758+0.0154545j -0.0662784-0.0296464j -0.094136+0.0441421j 0.121249+0.0825335j -0.0442547-0.0820956j -0.0634045-0.0170304j 0.00175749-0.0418861j -0.0199736-0.0707486j 0.0176745+0.0207561j -0.00527118+0.00564453j 0.004339-0.0161832j -0.0259146-0.0306376j -0.0159401-0.025525j -0.0360612+0.0109354j 0.0233419+0.0103575j -0.0264708-0.0167504j -0.0127379-0.0358691j -0.012757-0.00843929j -0.00721208+0.0249046j 0.00580294+0.00979599j -0.0204299+0.008393j -0.0103357+0.00399185j -0.0143746-0.024331j -0.0278051-0.0206897j -0.00236584-0.00031824j 0.0318861-0.00387206j -0.0215459-0.0160211j 0.00390396-0.0169619j 0.00128181+0.0102207j 0.0119782-0.00554322j 0.00774555+0.0132464j -0.00656138+0.008403j -0.00254473-0.00914431j 0.00619299-0.00709216j -0.0242351-0.0113972j 0.0262563+0.0314227j 0.00234185+0.00733705j -0.0112964-0.00727206j -0.00185157+0.00944967j -0.000380149-0.0106549j 0.00521327-0.0222456j -0.00318958-0.00859668j 0.0358809+0.027966j -0.00155931-0.0125964j 0.0282401-0.00932085j -0.0260332-0.0122865j -0.0251101-0.0261478j -0.0073679+0.00951522j 0.00461842+0.00271565j 0.00746093+0.00993267j 0.00944434+0.00231146j 0.0032648-0.00384348j 0.00651595+0.00812001j 
0.0189324-0.112863j 0.326368+0.0416775j 0.0127756-0.0358549j -0.0246874+0.00711333j 0.0071171+0.0184641j -0.0289611+0.0135013j 0.0495918+0.0188168j 0.0163002-0.0113965j -0.059813+0.0710541j -0.100045-0.0990223j -0.194763+0.0323315j 0.0206676+0.127221j 0.130321+0.0970341j -0.0937659+0.071521j 0.0176373+0.0197609j 0.0351803-0.0234142j -0.0448023-0.0179587j 0.0313444+0.0138879j 0.0334282+0.0117626j 0.020801-0.00177584j 0.0112397-0.00733817j 0.00375771-0.0314114j -0.00235203-0.00795749j -0.000565257+0.020477j -0.00588127+0.00968578j 0.0250975+0.0192687j -0.00474247-0.0192483j -0.0195711+0.000461575j 0.00565675-0.0123485j 0.00725144+7.59616e-05j -0.00680588-0.00920919j 0.00773041+0.000235356j -0.0125269+0.00976542j 0.00304962+0.000655127j 0.0118001-0.0141308j -0.00427014+0.00922127j 0.0161518+0.00380513j 0.00909055+0.00187092j 0.00620172+0.00933199j -0.0020566-0.00800829j -0.0186285+0.00330117j -0.00808261+0.00489648j 0.000467611+0.0122561j 0.00591299+0.00820087j 0.0203867-0.000992403j -0.00945487-0.00541208j -0.00761878-0.00337548j 0.0234492-0.00918492j 0.0142451-0.0111463j 0.00145776+0.00512004j 0.0148775+0.00513499j 0.00886283-0.0171756j 0.00759181-0.0047789j -0.0262636-0.00128358j 0.000808362-0.00583301j -0.0194622+0.012454j 0.0060888+0.0205345j 0.00220809+0.00961547j -0.0246758-0.0186873j -0.014461+0.0119472j -0.00300012+0.00869375j -0.00966456+0.000416298j 0.0142242+0.0192556j 0.0154825-0.00961077j 0.00832793-0.00338462j -0.00789721-0.013242j 0.0120073+0.0032919j 0.00987915+0.00283819j -0.0108453-0.00922607j 
